,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
01,Mitte,01100101,Stülerstraße, 2 613 , 98.3 , -   , 1 549 , 58.3 , -   , 2 613 , 98.3 , -   , 1 549 , 58.3 , -   
01,Mitte,01100102,Großer Tiergarten, 1 874 , 97.7 , -   , 1 463 , 76.2 , -   , 1 876 , 97.8 , 0.1 , 1 475 , 76.9 , 0.7 
01,Mitte,01100103,Lützowstraße, 3 430 , 99.8 , -   , 1 894 , 55.1 , -   , 3 430 , 99.8 , -   , 1 894 , 55.1 , -   
01,Mitte,01100104,Körnerstraße, 2 945 , 99.0 , -   , 2 744 , 92.3 , -   , 2 945 , 99.0 , -   , 2 745 , 92.3 , -   
01,Mitte,01100205,Wilhelmstraße, 2 172 , 98.7 , -   , 1 349 , 61.3 , -   , 2 172 , 98.7 , -   , 1 349 , 61.3 , -   
01,Mitte,01100206,Unter den Linden, 3 993 , 97.2 , -   , 3 487 , 84.9 , -   , 3 993 , 97.2 , -   , 3 487 , 84.9 , -   
01,Mitte,01100207,Leipziger Straße, 6 617 , 94.5 , -   , 5 062 , 72.3 , -   , 6 618 , 94.5 , -   , 5 065 , 72.3 , -   
01,Mitte,01100308,Charitéviertel, 6 073 , 92.6 , -   , 3 179 , 48.5 , -   , 6 204 , 94.6 , 2.0 , 3 544 , 54.0 , 5.5 
01,Mitte,01100309,Oranienburger Straße, 10 160 , 96.2 , -   , 6 243 , 59.1 , -   , 10 160 , 96.2 , -   , 6 243 , 59.1 , -   
01,Mitte,01100310,Alexanderplatzviertel, 7 075 , 97.5 , -   , 3 381 , 46.6 , -   , 7 075 , 97.5 , -   , 3 381 , 46.6 , -   
01,Mitte,01100311,Karl-Marx-Allee, 5 450 , 99.3 , -   , 3 792 , 69.1 , -   , 5 485 , 100.0 , 0.7 , 5 441 , 99.2 , 30.1 
01,Mitte,01100312,Heine-Viertel West, 6 505 , 98.7 , -   , 5 276 , 80.1 , -   , 6 505 , 98.7 , -   , 5 276 , 80.1 , -   
01,Mitte,01100313,Heine-Viertel Ost, 6 351 , 99.2 , -   , 5 972 , 93.3 , -   , 6 351 , 99.2 , -   , 5 972 , 93.3 , -   
01,Mitte,01100414,Nordbahnhof, 2 779 , 99.8 , -   , 1 232 , 44.2 , -   , 2 779 , 99.8 , -   , 1 250 , 44.9 , 0.7 
01,Mitte,01100415,Invalidenstraße, 8 824 , 93.9 , -   , 3 020 , 32.1 , -   , 8 952 , 95.2 , 1.3 , 4 680 , 49.8 , 17.7 
01,Mitte,01100416,Arkonaplatz, 8 723 , 100.0 , -   , 8 722 , 100.0 , -   , 8 723 , 100.0 , -   , 8 722 , 100.0 , -   
01,Mitte,01200517,Huttenkiez, 2 811 , 99.3 , -   , 2 193 , 77.5 , -   , 2 811 , 99.3 , -   , 2 193 , 77.5 , -   
01,Mitte,01200518,Beusselkiez, 3 914 , 100.0 , -   , 1 495 , 38.2 , -   , 3 914 , 100.0 , -   , 1 495 , 38.2 , -   
01,Mitte,01200519,Emdener Straße, 5 402 , 100.0 , -   , 5 402 , 100.0 , -   , 5 402 , 100.0 , -   , 5 402 , 100.0 , -   
01,Mitte,01200520,Bremer Straße, 5 802 , 100.0 , -   , 5 802 , 100.0 , -   , 5 802 , 100.0 , -   , 5 802 , 100.0 , -   
01,Mitte,01200521,Zwinglistraße, 2 981 , 100.0 , -   , 2 981 , 100.0 , -   , 2 981 , 100.0 , -   , 2 981 , 100.0 , -   
01,Mitte,01200522,Elberfelder Straße, 6 972 , 100.0 , -   , 6 972 , 100.0 , -   , 6 972 , 100.0 , -   , 6 972 , 100.0 , -   
01,Mitte,01200623,Stephankiez, 6 259 , 100.0 , -   , 6 259 , 100.0 , -   , 6 259 , 100.0 , -   , 6 259 , 100.0 , -   
01,Mitte,01200624,Heidestraße, 3 321 , 100.0 , -   , 3 274 , 98.6 , -   , 3 321 , 100.0 , -   , 3 274 , 98.6 , -   
01,Mitte,01200625,Lübecker Straße, 3 711 , 100.0 , -   , 3 711 , 100.0 , -   , 3 711 , 100.0 , -   , 3 711 , 100.0 , -   
01,Mitte,01200626,Thomasiusstraße, 3 927 , 100.0 , -   , 3 927 , 100.0 , -   , 3 927 , 100.0 , -   , 3 927 , 100.0 , -   
