Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
01100101,Stülerstraße,2,1,3,2,2,3,2,01 - Mitte,1
01100102,Großer Tiergarten,0,1,2,2,2,1,1,01 - Mitte,1
01100103,Lützowstraße,3,2,3,1,3,3,2,01 - Mitte,1
01100104,Körnerstraße,2,2,3,2,3,1,2,01 - Mitte,1
01100205,Wilhelmstraße,3,1,3,3,3,1,2,01 - Mitte,1
01100206,Unter den Linden,4,1,3,3,3,3,2,01 - Mitte,1
01100207,Leipziger Straße,3,2,3,3,3,2,2,01 - Mitte,1
01100308,Charitéviertel,2,1,3,2,3,2,1,01 - Mitte,1
01100309,Oranienburger Straße,3,2,3,2,3,3,2,01 - Mitte,1
01100310,Alexanderplatzviertel,3,1,3,3,3,2,2,01 - Mitte,1
01100311,Karl-Marx-Allee,2,2,2,3,3,2,2,01 - Mitte,1
01100312,Heine-Viertel West,2,2,2,3,3,1,2,01 - Mitte,1
01100313,Heine-Viertel Ost,1,2,2,2,3,2,2,01 - Mitte,1
01100414,Nordbahnhof,1,2,2,1,3,1,2,01 - Mitte,1
01100415,Invalidenstraße,3,2,3,2,3,3,2,01 - Mitte,1
01100416,Arkonaplatz,3,3,3,1,3,3,1,01 - Mitte,1
01200517,Huttenkiez,4,1,2,3,3,3,3,01 - Mitte,1
01200518,Beusselkiez,4,3,3,2,3,3,3,01 - Mitte,1
01200519,Emdener Straße,2,3,3,2,2,3,2,01 - Mitte,1
01200520,Bremer Straße,2,3,3,2,2,3,2,01 - Mitte,1
01200521,Zwinglistraße,4,3,3,2,3,3,3,01 - Mitte,1
01200522,Elberfelder Straße,2,2,3,1,2,3,2,01 - Mitte,1
01200623,Stephankiez,1,2,2,2,2,3,2,01 - Mitte,1
01200624,Heidestraße,2,1,2,3,3,1,2,01 - Mitte,1
01200625,Lübecker Straße,2,3,3,2,2,2,3,01 - Mitte,1
01200626,Thomasiusstraße,1,2,3,2,2,2,2,01 - Mitte,1
01200627,Zillesiedlung,1,2,2,2,2,2,3,01 - Mitte,1
01200628,Lüneburger Straße,2,1,2,3,3,2,2,01 - Mitte,1
01200629,Hansaviertel,1,2,2,3,2,1,2,01 - Mitte,1
01300730,Drontheimer Straße,4,2,3,2,3,3,3,01 - Mitte,1
01300731,Koloniestraße,1,2,2,1,2,2,3,01 - Mitte,1
01300732,Soldiner Straße,3,2,2,3,2,3,3,01 - Mitte,1
01300733,Gesundbrunnen,3,2,3,2,2,3,3,01 - Mitte,1
01300834,Brunnenstraße,1,2,2,2,2,1,3,01 - Mitte,1
01300835,Humboldthain Süd,1,1,2,1,2,2,3,01 - Mitte,1
01300836,Humboldthain Nordwest,4,2,2,3,3,3,3,01 - Mitte,1
01400937,Afrikanische Straße,1,1,1,2,2,1,3,01 - Mitte,1
01400938,Kameruner Straße,2,1,2,2,2,3,3,01 - Mitte,1
01400939,Glasgower Straße,1,2,2,1,2,1,3,01 - Mitte,1
01400940,Schillerpark,0,1,2,2,2,1,2,01 - Mitte,1
01400941,Londoner Straße,0,1,2,2,2,1,2,01 - Mitte,1
01400942,Westliche Müllerstraße,4,2,3,2,3,3,3,01 - Mitte,1
01401043,Antonstraße,4,3,3,2,3,3,3,01 - Mitte,1
01401044,Uferstraße,3,3,3,2,3,2,3,01 - Mitte,1
01401045,Schwedenstraße,5,3,3,3,3,3,3,01 - Mitte,1
01401046,Nordufer,2,3,3,1,2,3,2,01 - Mitte,1
01401047,Sparrplatz,4,3,3,2,3,3,3,01 - Mitte,1
01401048,Leopoldplatz,4,3,3,1,3,3,3,01 - Mitte,1
01401049,Schulstraße,2,2,2,1,2,3,3,01 - Mitte,1
02100101,Askanischer Platz,2,1,2,2,3,1,3,02 - Friedrichshain-Kreuzberg,1
02100102,Mehringplatz,4,2,3,2,3,3,3,02 - Friedrichshain-Kreuzberg,1
02100103,Am Berlin Museum,3,2,2,1,3,3,3,02 - Friedrichshain-Kreuzberg,1
02100104,Moritzplatz,1,2,2,2,2,1,3,02 - Friedrichshain-Kreuzberg,1
02100105,Prinzenstraße,2,3,2,2,2,3,3,02 - Friedrichshain-Kreuzberg,1
02100106,Wassertorplatz,1,2,2,2,2,1,3,02 - Friedrichshain-Kreuzberg,1
02200207,Gleisdreieck,2,1,2,3,3,1,1,02 - Friedrichshain-Kreuzberg,1
02200208,Rathaus Yorckstraße,2,2,3,2,3,2,2,02 - Friedrichshain-Kreuzberg,1
02200209,Viktoriapark,1,2,3,2,2,1,2,02 - Friedrichshain-Kreuzberg,1
02200210,Urbanstraße,2,2,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02200211,Chamissokiez,1,2,2,1,2,3,2,02 - Friedrichshain-Kreuzberg,1
02200212,Graefekiez Süd,2,3,3,1,3,1,2,02 - Friedrichshain-Kreuzberg,1
02200213,Graefekiez Nord,1,2,3,1,2,2,2,02 - Friedrichshain-Kreuzberg,1
02300314,Oranienplatz,3,2,3,2,2,3,3,02 - Friedrichshain-Kreuzberg,1
02300315,Lausitzer Platz,2,3,3,1,2,2,3,02 - Friedrichshain-Kreuzberg,1
02300316,Köpenicker Straße,2,1,3,2,3,2,2,02 - Friedrichshain-Kreuzberg,1
02300417,Reichenberger Straße West,2,3,3,1,3,1,2,02 - Friedrichshain-Kreuzberg,1
02300418,Reichenberger Straße Ost,0,2,2,1,2,1,2,02 - Friedrichshain-Kreuzberg,1
02300419,Wrangelkiez,1,3,3,1,2,2,2,02 - Friedrichshain-Kreuzberg,1
02400520,Barnimkiez,1,1,2,3,2,1,2,02 - Friedrichshain-Kreuzberg,1
02400521,Friedenstraße,2,2,2,3,3,2,2,02 - Friedrichshain-Kreuzberg,1
02400522,Richard-Sorge-Viertel,3,3,3,1,3,3,2,02 - Friedrichshain-Kreuzberg,1
02400623,Andreasviertel,2,2,2,3,3,2,2,02 - Friedrichshain-Kreuzberg,1
02400624,Weberwiese,1,3,2,2,3,2,2,02 - Friedrichshain-Kreuzberg,1
02400625,Wriezener Bahnhof,3,1,2,3,3,2,3,02 - Friedrichshain-Kreuzberg,1
02500726,Hausburgviertel,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500727,Forckenbeckplatz,3,2,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500728,Samariterviertel,3,3,3,1,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500729,Pettenkofer Straße,2,2,2,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500830,Niederbarnimstraße,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500831,Wismarplatz,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500832,Traveplatz,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500833,Boxhagener Platz,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500834,Revaler Straße,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500835,Stralauer Kiez,2,1,2,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500836,Stralauer Halbinsel,0,1,1,2,2,1,1,02 - Friedrichshain-Kreuzberg,1
03100101,Bucher Forst,1,1,1,3,2,1,2,03 -Pankow,1
03100102,Klinikum Buch,1,1,1,3,2,1,2,03 -Pankow,1
03100103,Karower Chaussee,2,1,1,3,3,1,2,03 -Pankow,1
03200204,Blankenfelde,0,1,1,1,2,1,1,03 -Pankow,1
03200205,Uhlandstraße,0,1,1,2,1,2,1,03 -Pankow,1
03200206,Pastor-Niemöller-Platz,1,1,2,3,2,2,2,03 -Pankow,1
03200207,Herthaplatz,0,1,2,2,2,2,2,03 -Pankow,1
03200308,Nisbléstraße,0,1,2,2,2,1,1,03 -Pankow,1
03200309,Eddastraße,1,1,1,3,2,1,2,03 -Pankow,1
03200310,Krugpfuhl,0,1,1,2,2,1,2,03 -Pankow,1
03300411,Karow Nord,2,1,2,3,3,1,2,03 -Pankow,1
03300412,Karow Bahnhof,1,1,1,3,1,1,1,03 -Pankow,1
03300413,Karow Ost,1,1,1,3,1,1,1,03 -Pankow,1
03300514,Blankenburg,1,1,1,3,1,1,1,03 -Pankow,1
03300515,Blankenburger Süden,1,1,1,3,2,1,0,03 -Pankow,1
03300516,Heinersdorf,1,1,1,3,2,1,2,03 -Pankow,1
03300517,Märchenland,0,1,1,2,2,1,1,03 -Pankow,1
