PLR_ID,PLR_NAME,charging_stations,charging_points,combined_power
01100101,Stülerstraße,3.0,6.0,110.0
01100102,Großer Tiergarten,35.0,40.0,693.0
01100103,Lützowstraße,5.0,13.0,165.0
01100104,Körnerstraße,3.0,6.0,66.0
01100205,Wilhelmstraße,11.0,16.0,234.0
01100206,Unter den Linden,13.0,21.0,297.0
01100207,Leipziger Straße,10.0,19.0,242.0
01100308,Charitéviertel,19.0,33.0,572.0
01100309,Oranienburger Straße,6.0,12.0,220.0
01100310,Alexanderplatzviertel,26.0,42.0,921.0
01100311,Karl-Marx-Allee,12.0,18.0,838.0
01100312,Heine-Viertel West,4.0,8.0,132.0
01100313,Heine-Viertel Ost,9.0,16.0,220.0
01100414,Nordbahnhof,5.0,6.0,394.0
01100415,Invalidenstraße,7.0,14.0,220.0
01100416,Arkonaplatz,6.0,12.0,198.0
01200517,Huttenkiez,9.0,19.0,498.0
01200518,Beusselkiez,2.0,4.0,66.0
01200519,Emdener Straße,3.0,4.0,44.0
01200520,Bremer Straße,3.0,6.0,66.0
01200521,Zwinglistraße,2.0,4.0,88.0
01200522,Elberfelder Straße,5.0,10.0,176.0
01200623,Stephankiez,25.0,86.0,1804.0
01200624,Heidestraße,8.0,27.0,572.0
01200625,Lübecker Straße,3.0,9.0,132.0
01200626,Thomasiusstraße,3.0,6.0,88.0
01200627,Zillesiedlung,1.0,2.0,44.0
01200628,Lüneburger Straße,11.0,14.0,176.0
01200629,Hansaviertel,4.0,8.0,110.0
01300730,Drontheimer Straße,3.0,6.0,137.0
01300731,Koloniestraße,4.0,6.0,88.0
01300732,Soldiner Straße,1.0,2.0,22.0
01300733,Gesundbrunnen,6.0,12.0,830.0
01300834,Brunnenstraße,2.0,4.0,44.0
01300835,Humboldthain Süd,17.0,29.0,625.0
01300836,Humboldthain Nordwest,6.0,10.0,132.0
01400937,Afrikanische Straße,1.0,2.0,22.0
01400938,Kameruner Straße,1.0,2.0,22.0
01400939,Glasgower Straße,,,
01400940,Schillerpark,2.0,4.0,322.0
01400941,Londoner Straße,,,
01400942,Westliche Müllerstraße,2.0,3.0,25.0
01401043,Antonstraße,,,
01401044,Uferstraße,4.0,6.0,88.0
01401045,Schwedenstraße,1.0,2.0,44.0
01401046,Nordufer,2.0,4.0,44.0
01401047,Sparrplatz,,,
01401048,Leopoldplatz,3.0,6.0,66.0
01401049,Schulstraße,,,
02100101,Askanischer Platz,5.0,12.0,154.0
02100102,Mehringplatz,6.0,12.0,225.0
02100103,Am Berlin Museum,1.0,2.0,22.0
02100104,Moritzplatz,5.0,9.0,1634.0
02100105,Prinzenstraße,7.0,12.0,203.0
02100106,Wassertorplatz,,,
02200207,Gleisdreieck,37.0,52.0,7328.0
02200208,Rathaus Yorckstraße,1.0,2.0,22.0
02200209,Viktoriapark,5.0,10.0,154.0
02200210,Urbanstraße,5.0,10.0,110.0
02200211,Chamissokiez,8.0,16.0,220.0
02200212,Graefekiez Süd,4.0,6.0,88.0
02200213,Graefekiez Nord,6.0,12.0,198.0
02300314,Oranienplatz,2.0,4.0,44.0
02300315,Lausitzer Platz,4.0,9.0,210.0
02300316,Köpenicker Straße,4.0,8.0,110.0
02300417,Reichenberger Straße West,5.0,10.0,154.0
02300418,Reichenberger Straße Ost,3.0,6.0,194.0
02300419,Wrangelkiez,2.0,4.0,742.0
02400520,Barnimkiez,3.0,6.0,110.0
02400521,Friedenstraße,4.0,8.0,88.0
02400522,Richard-Sorge-Viertel,3.0,6.0,88.0
02400623,Andreasviertel,9.0,20.0,242.0
02400624,Weberwiese,4.0,8.0,88.0
02400625,Wriezener Bahnhof,18.0,32.0,2152.0
02500726,Hausburgviertel,4.0,6.0,66.0
02500727,Forckenbeckplatz,,,
02500728,Samariterviertel,1.0,2.0,22.0
02500729,Pettenkofer Straße,1.0,2.0,22.0
02500830,Niederbarnimstraße,2.0,4.0,66.0
02500831,Wismarplatz,2.0,4.0,44.0
02500832,Traveplatz,1.0,2.0,22.0
02500833,Boxhagener Platz,3.0,6.0,110.0
02500834,Revaler Straße,4.0,8.0,922.0
02500835,Stralauer Kiez,3.0,4.0,28.0
02500836,Stralauer Halbinsel,2.0,4.0,44.0
03100101,Bucher Forst,,,
03100102,Klinikum Buch,7.0,14.0,308.0
03100103,Karower Chaussee,6.0,6.0,132.0
03200204,Blankenfelde,1.0,1.0,11.0
03200205,Uhlandstraße,1.0,1.0,3.0
