blknr,PLR_ID,PLR_NAME,electricity_mwh_2022,electricity_mwh_2021,electricity_mwh_2020,district_heating_mwh_2022,district_heating_mwh_2021,district_heating_mwh_2020,gas_mwh_2022,gas_mwh_2021,gas_mwh_2020
001001,01200517,Huttenkiez,35.002,38.291,44.962,,,,,,
001002,01200517,Huttenkiez,14178.253,,,,,,,,
001007,01200517,Huttenkiez,4371.976,4609.599,5887.394,2568.032,2786.803,2684.242,4426.624,5140.985,4521.8
001010,01200517,Huttenkiez,299.238,301.856,304.234,,,,,,184.973
001012,01200517,Huttenkiez,1093.98,1123.465,1434.601,1305.403,1432.731,1444.354,2696.962,3202.943,2897.43
001013,01200517,Huttenkiez,1667.408,1698.932,1763.978,1078.283,973.448,1210.907,3981.527,4397.288,4121.9
001074,01200517,Huttenkiez,10050.226,10495.262,10461.674,1187.829,1981.189,1273.264,3901.668,4083.957,3767.02
001075,01200517,Huttenkiez,556.835,585.849,574.386,864.296,977.122,840.66,929.767,1025.235,844.416
001076,01200517,Huttenkiez,25069.343,24085.563,22735.256,7648.04,8849.03,7845.84,,,
001094,01200517,Huttenkiez,3939.165,4113.733,4695.167,5270.527,5737.114,5488.519,1871.171,2053.091,2120.556
001502,01200517,Huttenkiez,,,,,,,,,
001503,01200517,Huttenkiez,,,,,,,,,
001505,01200517,Huttenkiez,,,,,,,,,
001506,01200517,Huttenkiez,,,,,,,,,
001508,01200517,Huttenkiez,,,,,,,,,
001510,01200517,Huttenkiez,,,,,,,,,
001511,01200517,Huttenkiez,,,,,,,,,
001600,01200517,Huttenkiez,297.614,209.996,239.714,,,,332.576,317.23,374.233
001601,01200517,Huttenkiez,15684.196,16345.378,16896.278,2077.933,758.887,2262.101,1202.965,1274.628,1034.198
001602,01200517,Huttenkiez,7780.525,7977.879,7389.488,,,,,2786.355,
001603,01200517,Huttenkiez,1112.698,1588.856,1186.824,,,,1288.456,1513.721,1354.967
001604,01200517,Huttenkiez,,,,,,,,,
001624,01200517,Huttenkiez,17427.134,,,16822.583,21721.285,3562.315,,,
001625,01200517,Huttenkiez,257.444,275.319,312.096,2269.717,2601.427,2190.039,364.625,421.494,1082.224
001850,01200517,Huttenkiez,,,,,,,,,
001851,01200517,Huttenkiez,,,,,,,,,
001853,01200517,Huttenkiez,,,,,,,,,
001854,01200517,Huttenkiez,,,,,,,,,
001865,01200517,Huttenkiez,,,,,,,,,
001866,01200517,Huttenkiez,,,,,,,,,
001867,01200517,Huttenkiez,,,,,,,,,
001874,01200517,Huttenkiez,,,,,,,,,
001875,01200517,Huttenkiez,,,,,,,,,
001877,01200517,Huttenkiez,,,,,,,,,
001900,01200517,Huttenkiez,,,,,,,,,
001901,01200517,Huttenkiez,2933.789,3112.045,3321.199,,,,,,
001903,01200517,Huttenkiez,,,,,,,,,
001906,01200517,Huttenkiez,5846.615,,5589.889,,,,,405.48,381.484
001044,01200624,Heidestraße,938.756,976.613,967.404,3954.206,3783.175,3449.964,40.296,40.499,43.657
001072,01200624,Heidestraße,12913.091,11486.614,10988.893,,,15477.318,,,
001073,01200624,Heidestraße,836.288,761.184,769.389,2688.022,3064.667,2614.274,273.371,337.652,301.122
001090,01200624,Heidestraße,2841.094,2702.978,2543.583,,,,135.315,162.961,145.967
001509,01200624,Heidestraße,,,,,,,,,
001641,01200624,Heidestraße,2412.919,1156.203,849.653,2555.523,3222.729,2396.774,690.137,872.289,735.575
001855,01200624,Heidestraße,,,,,,,,,
001878,01200624,Heidestraße,,,,,,,,,
001904,01200624,Heidestraße,3074.924,1517.272,1563.022,,,4686.718,,,
001905,01200624,Heidestraße,5646.369,4027.127,4063.803,4431.857,4851.451,2412.065,,,
001501,01400937,Afrikanische Straße,,,,,,,,,
010272,01400937,Afrikanische Straße,584.488,602.76,576.526,,,,,,
010600,01400937,Afrikanische Straße,,,,,,,,,
010601,01400937,Afrikanische Straße,,,,,,,,,
010602,01400937,Afrikanische Straße,,,,,,,,,
010603,01400937,Afrikanische Straße,6183.86,,,19915.226,23181.987,18837.831,,,
010609,01400937,Afrikanische Straße,136.945,144.535,155.821,,,,566.506,693.369,627.288
010638,01400937,Afrikanische Straße,296.754,368.028,470.932,,,,515.102,609.215,514.047
010850,01400937,Afrikanische Straße,,,,,,,,,
011004,01400937,Afrikanische Straße,819.731,909.151,906.47,5894.522,6852.583,6123.192,102.452,138.077,153.657
011005,01400937,Afrikanische Straße,770.453,827.204,807.567,5004.479,5601.628,5150.697,60.657,120.225,136.048
011006,01400937,Afrikanische Straße,1048.645,1120.67,1163.302,5710.962,6642.543,6008.204,331.67,327.366,338.729
011009,01400937,Afrikanische Straße,,,,,,,,,
011010,01400937,Afrikanische Straße,317.75,342.451,359.056,1391.747,1560.23,1409.588,258.63,285.354,248.284
011011,01400937,Afrikanische Straße,497.644,487.576,494.757,2808.285,3102.45,2825.13,,,
011012,01400937,Afrikanische Straße,779.074,931.611,894.773,4775.361,5470.896,4636.308,53.609,125.915,97.359
011017,01400937,Afrikanische Straße,1010.145,1019.26,1015.144,,,,3507.194,4139.726,3843.57
011018,01400937,Afrikanische Straße,538.669,784.696,700.957,,,,1102.903,1604.21,1440.16
011019,01400937,Afrikanische Straße,606.025,855.826,867.478,,,,1666.178,2362.133,2084.84
011022,01400937,Afrikanische Straße,1364.555,1323.527,1315.497,2202.985,2476.233,2114.214,3432.342,4057.468,3725.352
011023,01400937,Afrikanische Straße,440.474,575.554,572.625,1296.27,1275.346,1378.739,1171.143,1773.065,1618.149
011024,01400937,Afrikanische Straße,641.085,782.246,811.79,1315.933,1395.803,1339.282,1098.273,1433.738,1106.388
011501,01400937,Afrikanische Straße,,,,,,,,,
011505,01400937,Afrikanische Straße,,,,,,,,,
011506,01400937,Afrikanische Straße,,,,,,,,,
011610,01400937,Afrikanische Straße,3691.006,4054.497,4124.255,3685.927,4431.477,4024.019,1256.145,1674.345,1998.182
011611,01400937,Afrikanische Straße,255.367,251.01,246.818,1299.922,1426.537,1360.551,44.584,52.544,42.642
011656,01400937,Afrikanische Straße,,,,,,,,,
011657,01400937,Afrikanische Straße,,,,,,,,,
019504,01400937,Afrikanische Straße,,,,,,,,,
001504,01400938,Kameruner Straße,,,,,,,,,
010040,01400938,Kameruner Straße,135.321,,,,,,,,
010057,01400938,Kameruner Straße,33.172,,,,,,,,
010185,01400938,Kameruner Straße,,,,,,,,,
010186,01400938,Kameruner Straße,40607.93,27519.437,49455.7,21016.684,22854.469,20060.436,114069.527,140349.557,130225.175
010501,01400938,Kameruner Straße,,,,,,,,,
010502,01400938,Kameruner Straße,,,,,,,,,
010503,01400938,Kameruner Straße,,,,,,,,,
010504,01400938,Kameruner Straße,,,,,,,,,
010505,01400938,Kameruner Straße,,,,,,,,,
010506,01400938,Kameruner Straße,,,,,,,,,
011002,01400938,Kameruner Straße,,,,,,,,,
011003,01400938,Kameruner Straße,,,,,,,,,
011041,01400938,Kameruner Straße,118.514,119.562,127.027,,,,372.371,354.782,396.662
011042,01400938,Kameruner Straße,144.265,141.543,134.697,,,,212.7,276.136,248.487
011044,01400938,Kameruner Straße,323.704,346.298,328.16,,,,,,
011045,01400938,Kameruner Straße,,,,,,,,,
011046,01400938,Kameruner Straße,2449.182,2833.692,2751.062,,,,997.689,2192.789,1956.929
011048,01400938,Kameruner Straße,134.445,126.555,121.774,,,,217.567,272.021,216.425
011049,01400938,Kameruner Straße,145.062,146.116,138.352,,,,112.628,156.755,132.149
011050,01400938,Kameruner Straße,61.843,63.11,60.482,,,,100.662,123.378,114.056
011052,01400938,Kameruner Straße,1057.582,1045.542,1046.562,1706.41,1979.968,1637.301,1186.217,1426.231,1175.854
011053,01400938,Kameruner Straße,609.692,1124.766,1114.019,488.175,689.192,853.936,2289.603,2789.421,2513.023
011054,01400938,Kameruner Straße,2096.857,2325.896,2237.533,1907.235,2096.839,1632.31,1697.898,2132.628,1761.657
011058,01400938,Kameruner Straße,1313.96,1413.872,1363.902,2073.962,2253.649,3269.773,535.848,601.006,465.114
011059,01400938,Kameruner Straße,2138.514,1842.596,1861.944,3172.061,3533.589,3293.33,3485.362,4021.344,3566.803
011060,01400938,Kameruner Straße,1364.382,2004.199,2078.527,1915.605,2010.296,1733.958,2956.0,4928.234,4906.886
011061,01400938,Kameruner Straße,1734.439,2183.036,2336.992,,,,3741.296,6422.449,5540.717
011508,01400938,Kameruner Straße,,,,,,,,,
011509,01400938,Kameruner Straße,,,,,,,,,
011633,01400938,Kameruner Straße,1344.687,1358.261,1385.218,2765.471,3224.319,2968.15,,,
001507,01300836,Humboldthain Nordwest,,,,,,,,,
008001,01300836,Humboldthain Nordwest,,,,,,,,,
008002,01300836,Humboldthain Nordwest,779.645,,,,,,,,
008129,01300836,Humboldthain Nordwest,1686.442,1775.382,2185.71,2501.514,2886.793,2410.851,1763.327,2078.531,1949.003
008130,01300836,Humboldthain Nordwest,4147.616,4187.966,3988.165,3481.909,3960.431,2508.591,2989.486,3300.728,2941.879
008131,01300836,Humboldthain Nordwest,,,,,,,,,
008151,01300836,Humboldthain Nordwest,3281.065,3659.587,3951.673,4338.09,4768.245,3738.23,3523.143,4651.103,4396.351
008184,01300836,Humboldthain Nordwest,639.616,705.052,845.893,1301.706,2282.184,2318.194,1290.613,1171.142,998.691
008196,01300836,Humboldthain Nordwest,,,,,,,,,
008203,01300836,Humboldthain Nordwest,3228.045,2585.984,1452.111,3229.652,3509.646,2241.943,1850.982,1795.328,960.668
008204,01300836,Humboldthain Nordwest,83.072,87.511,84.041,,,,,,
008205,01300836,Humboldthain Nordwest,100.497,132.761,151.254,,,,,411.146,479.984
008210,01300836,Humboldthain Nordwest,,,,,,,,,
008211,01300836,Humboldthain Nordwest,264.615,299.402,308.404,,,,197512.367,217533.452,226068.626
008212,01300836,Humboldthain Nordwest,1338.883,1400.198,1493.488,,,,3530.994,4041.629,3537.376
008213,01300836,Humboldthain Nordwest,800.98,849.469,816.867,1912.399,2195.34,2001.712,590.035,938.641,563.821
008214,01300836,Humboldthain Nordwest,1610.744,1556.114,1530.807,,,,4801.252,5259.882,4347.804
008215,01300836,Humboldthain Nordwest,2757.667,2515.294,2600.066,,,,6385.398,7358.637,6511.527
008216,01300836,Humboldthain Nordwest,813.827,1286.281,1327.773,605.535,713.086,,3352.71,3841.678,3254.459
008217,01300836,Humboldthain Nordwest,706.842,527.831,503.024,,,,,,
008219,01300836,Humboldthain Nordwest,1612.074,1596.009,1695.329,,,,3084.887,3867.809,4203.706
008220,01300836,Humboldthain Nordwest,45.583,,,,,,,,
008221,01300836,Humboldthain Nordwest,,,,,,,,,
008222,01300836,Humboldthain Nordwest,1565.081,1521.742,1523.75,,,,3208.917,3791.256,2905.258
008223,01300836,Humboldthain Nordwest,712.571,773.489,805.739,2307.37,2802.956,2603.366,265.459,296.51,279.284
008224,01300836,Humboldthain Nordwest,1105.856,1149.201,1199.587,,,,2565.44,3119.257,2621.658
008225,01300836,Humboldthain Nordwest,950.398,1108.692,1069.251,,,,1401.944,1899.24,1474.11
008228,01300836,Humboldthain Nordwest,1999.599,2127.094,2110.755,,,,1463.698,1786.129,1623.74
008229,01300836,Humboldthain Nordwest,698.174,747.701,727.65,,,,2253.699,2639.333,2241.716
008230,01300836,Humboldthain Nordwest,,,,,,,,,
008624,01300836,Humboldthain Nordwest,,,,,,,,,
008901,01300836,Humboldthain Nordwest,,,,,,,,,
008902,01300836,Humboldthain Nordwest,,,,,,,,,
008903,01300836,Humboldthain Nordwest,,,,,,,,,
008909,01300836,Humboldthain Nordwest,,,,,,,,,
008910,01300836,Humboldthain Nordwest,,,,,,,,,
001852,01401046,Nordufer,,,,,,,,,
009188,01401046,Nordufer,,,,,,,,,
009189,01401046,Nordufer,1802.947,1908.513,1883.531,2301.483,2747.426,2259.852,3200.311,3702.545,3420.974
009190,01401046,Nordufer,2484.506,2721.623,2538.667,1513.643,1604.815,949.531,6970.16,7775.298,7377.268
009191,01401046,Nordufer,1825.618,1874.852,1953.527,2887.993,3284.508,3007.156,2495.528,2937.76,2691.306
