PLR_ID,PLR_NAME,electricity_mwh_2022,electricity_mwh_2021,electricity_mwh_2020,district_heating_mwh_2022,district_heating_mwh_2021,district_heating_mwh_2020,gas_mwh_2022,gas_mwh_2021,gas_mwh_2020
01100101,Stülerstraße,28062.831,25324.645,27031.742,47523.801,51727.97,45712.122,165.235,169.608,184.124
01100102,Großer Tiergarten,90600.67,83197.539,87521.181,136019.818,143989.539,121624.071,266.09,1668.815,1698.5169999999998
01100103,Lützowstraße,23410.741,22884.915,23435.485,29846.244,33420.418,28116.12,22650.193,25143.112999999998,21310.274
01100104,Körnerstraße,29443.289000000004,27290.775,27335.933,15878.454,16391.735,13366.927,16936.874,20560.798,19195.664
01100205,Wilhelmstraße,75180.474,67578.132,75715.64199999999,75519.883,80323.656,66730.236,2271.953,2706.0229999999997,3005.112
01100206,Unter den Linden,129349.752,120605.613,126365.549,124060.07400000001,137330.529,124505.457,7790.772,21443.462,20198.778000000002
01100207,Leipziger Straße,65572.532,56735.467,60896.002,82094.544,96269.718,87681.075,498.342,880.493,766.965
01100308,Charitéviertel,85582.511,85363.027,84199.654,118023.846,134435.39,118224.667,88227.849,104023.92,101548.23599999999
01100309,Oranienburger Straße,61233.37,55756.525,58608.418000000005,49647.617,53573.16,48235.767,89161.108,101508.069,92320.174
01100310,Alexanderplatzviertel,100397.779,95290.04,106319.134,76664.663,85776.785,72289.206,126760.69900000001,135436.471,106766.515
01100311,Karl-Marx-Allee,34548.789,32647.222999999998,34948.04,38175.512,39365.24,35135.070999999996,3722.538,7171.448,7183.564
01100312,Heine-Viertel West,25471.498,24570.651,25382.446,52805.351,60392.354999999996,53792.672,4903.901,5855.198,5404.689
01100313,Heine-Viertel Ost,31916.358,28152.275999999998,26449.411,48261.549,54521.824,49093.539,12065.997,13321.243,11500.498
01100414,Nordbahnhof,12496.466,11300.409,11767.867999999999,24895.641,26458.523,15470.919999999998,11577.21,13498.243999999999,12555.239
01100415,Invalidenstraße,29311.092,29402.328,30921.654000000002,8238.219000000001,10819.921,6782.037,90271.783,105380.975,95831.254
01100416,Arkonaplatz,20841.124,20891.685999999998,21131.057,0.0,0.0,0.0,83394.16500000001,93450.906,82975.538
01200517,Huttenkiez,112601.441,76562.023,82837.14,41092.643,47819.036,28802.241,20996.341,26622.407,22685.201
01200518,Beusselkiez,15916.687,16873.597,16359.215,20409.65,22795.656,19650.442,13213.694,15573.805999999999,13709.738
01200519,Emdener Straße,14937.615,14682.978,15014.75,15088.656,16625.39,14727.037,25490.095,29263.883,25860.138
01200520,Bremer Straße,16322.154,16584.816,16943.586,25761.119,28711.0,26107.073,18684.078,22248.982,19252.016
01200521,Zwinglistraße,9099.481,9037.258999999998,9365.582,11844.882000000001,13094.214,10731.172999999999,13786.309,14907.681,13857.025
01200522,Elberfelder Straße,18016.196,18436.438000000002,18458.535,8251.351999999999,9197.31,7803.5019999999995,42149.705,51129.244,44546.751000000004
01200623,Stephankiez,18409.894,18155.036,18832.022,35400.93,37814.941,34825.101,33272.732,37746.274,33133.564
01200624,Heidestraße,28663.441,22627.990999999998,21745.747,13629.608,14922.022,31037.112999999998,1139.119,1413.401,1226.321
01200625,Lübecker Straße,16264.779,16794.16,17673.075,36132.911,45008.695999999996,41988.632,4405.221,5259.539,5298.727
01200626,Thomasiusstraße,24557.996,24978.561,25555.907,57341.309,64215.058,53393.139,7991.085000000001,9512.152,8508.664
01200627,Zillesiedlung,4035.1989999999996,4088.611,4057.1220000000003,15152.85,16742.273,16304.464,913.861,946.203,859.835
01200628,Lüneburger Straße,7042.434,6506.494,6715.088,24030.734,26348.537,13430.627,2497.4449999999997,9351.502,8265.382
01200629,Hansaviertel,8982.223,9229.943,9039.806,30213.946,35175.60275,31580.781000000003,5767.0070000000005,6193.923,5483.882
01300730,Drontheimer Straße,16508.044,17137.662,18157.603,0.0,0.0,0.0,47412.157,52082.251000000004,47183.37900000001
01300731,Koloniestraße,16719.25,16525.117,16910.549,0.0,0.0,0.0,36767.805,42798.376000000004,38233.137
01300732,Soldiner Straße,12050.953,12397.971,12470.212,0.0,0.0,0.0,35466.363,40028.94,35344.888
01300733,Gesundbrunnen,20469.266,21258.239,21590.561999999998,4145.981,4991.91,5289.849,45212.644,66121.122,58812.8
01300834,Brunnenstraße,18762.758,18907.495,19067.867,28233.131,32220.549,31263.285,15240.44,18530.741,16761.822
01300835,Humboldthain Süd,49482.468,51712.37499999999,51319.387,14982.222,15929.152,10977.568000000001,38520.806000000004,53130.511,51336.119000000006
01300836,Humboldthain Nordwest,30928.892,30592.760000000002,30371.337,19678.175,23118.681,17822.887,241834.351,269781.431,271359.66099999996
01400937,Afrikanische Straße,19982.67,15380.601999999999,15483.768,55301.619,63417.712999999996,55207.755,15167.388,19396.75,17974.695
