PLR_ID,PLR_NAME,jfe_count,jfe_names,Jugendfreizeiteinrichtungen (JFE),PbS oder ASP oder Kinderfarm,freier Träger,öffentlicher Träger
01100101,Stülerstraße,,,,,,
01100102,Großer Tiergarten,,,,,,
01100103,Lützowstraße,2.0,"['Kindertreff Villa Lützow', 'JFE Queer']",2.0,0.0,2.0,0.0
01100104,Körnerstraße,1.0,['Jugendbögen Pohlstraße'],1.0,0.0,1.0,0.0
01100205,Wilhelmstraße,1.0,['Jugendclub Ikarus'],1.0,0.0,1.0,0.0
01100206,Unter den Linden,,,,,,
01100207,Leipziger Straße,1.0,['Werk9'],1.0,0.0,1.0,0.0
01100308,Charitéviertel,,,,,,
01100309,Oranienburger Straße,2.0,"['Jugendkulturzentrum Weinmeisterhaus', 'RAA Schüler*innenclub am JGMM']",2.0,0.0,2.0,0.0
01100310,Alexanderplatzviertel,,,,,,
01100311,Karl-Marx-Allee,2.0,"['Platzmanagement Alexanderplatz', 'Pilotprojekt Inklusiver Schülerclub Charlotte Peffer Schule']",2.0,0.0,2.0,0.0
01100312,Heine-Viertel West,1.0,['Kinder- & Jugendzentrum Die OASE'],1.0,0.0,0.0,1.0
01100313,Heine-Viertel Ost,2.0,"['Mädchenzentrum ""Bärbel Patzig""', 'Kinderzentrum ""Ottokar""']",2.0,0.0,2.0,0.0
01100414,Nordbahnhof,,,,,,
01100415,Invalidenstraße,1.0,['JFE new way'],1.0,0.0,1.0,0.0
01100416,Arkonaplatz,1.0,['Freizeithaus am Mauerpark'],1.0,0.0,0.0,1.0
01200517,Huttenkiez,1.0,['Jugendklub Schlupfwinkel'],1.0,0.0,1.0,0.0
01200518,Beusselkiez,2.0,"['Stadtschloss-Kids', 'Jugendhaus B8']",2.0,0.0,2.0,0.0
01200519,Emdener Straße,,,,,,
01200520,Bremer Straße,3.0,"['Wolfgang-Scheunemann-Haus', 'Karame e.V.', 'Schulgarten Moabit ']",3.0,0.0,2.0,1.0
01200521,Zwinglistraße,1.0,['Otto-Spielplatz'],0.0,1.0,1.0,0.0
01200522,Elberfelder Straße,1.0,['Mädchen-Kultur-Treff Dünja'],1.0,0.0,1.0,0.0
01200623,Stephankiez,2.0,"['Kinder- und Jugendfreizeiteinrichtung ""ZilleKlub""', 'Moabiter Kinder-Hof']",1.0,1.0,2.0,0.0
01200624,Heidestraße,,,,,,
01200625,Lübecker Straße,,,,,,
01200626,Thomasiusstraße,1.0,['Kiez-Kids-Klub K3'],1.0,0.0,1.0,0.0
01200627,Zillesiedlung,,,,,,
01200628,Lüneburger Straße,,,,,,
01200629,Hansaviertel,,,,,,
01300730,Drontheimer Straße,1.0,['frisbee- Kinder- und Stadtteiltreff'],1.0,0.0,1.0,0.0
01300731,Koloniestraße,2.0,"['ASP-Panke', 'Jugendclub SOKO 116']",1.0,1.0,1.0,1.0
01300732,Soldiner Straße,2.0,"['Putte', 'Fabrik Osloer Straße e.V. , NachbarschaftsEtage']",2.0,0.0,2.0,0.0
01300733,Gesundbrunnen,3.0,"['Jugendclub Badstraße', 'MÄDEA - Stiftung SPI', 'AWO Kinder und Jugendclub Bellermannstraße']",3.0,0.0,2.0,1.0
01300834,Brunnenstraße,,,,,,
01300835,Humboldthain Süd,3.0,"['DRK Jugendzentrum Hussitenstr.', 'Abenteuerspielplatz Humboldthain', 'teeny Musik treff']",2.0,1.0,2.0,1.0
01300836,Humboldthain Nordwest,2.0,"['DRK Jugendladen Wedding', 'Interkulturelles Kinder-, Jugend- und Familienzentrum SCHALASCH']",2.0,0.0,2.0,0.0
01400937,Afrikanische Straße,,,,,,
01400938,Kameruner Straße,1.0,['AktionsRaum'],1.0,0.0,1.0,0.0
01400939,Glasgower Straße,2.0,"['Jugendetage 55', 'Mädchentreff TOWANDA']",2.0,0.0,2.0,0.0
01400940,Schillerpark,1.0,['Fipp-Treff an der Gottfried-Röhl-Grundschule'],1.0,0.0,1.0,0.0
01400941,Londoner Straße,,,,,,
01400942,Westliche Müllerstraße,,,,,,
01401043,Antonstraße,2.0,"['KiezKulturEtage', 'Palästina Jugendclub']",2.0,0.0,2.0,0.0
01401044,Uferstraße,1.0,['Alba Club'],1.0,0.0,1.0,0.0
01401045,Schwedenstraße,,,,,,
01401046,Nordufer,,,,,,
01401047,Sparrplatz,3.0,"['ASP Telux', 'Die Lynar', 'Kinderbunter Bauernhof']",1.0,2.0,2.0,1.0
01401048,Leopoldplatz,1.0,['AWO-LeLeKie'],1.0,0.0,1.0,0.0
01401049,Schulstraße,1.0,['Haus der Jugend'],1.0,0.0,1.0,0.0
02100101,Askanischer Platz,,,,,,
02100102,Mehringplatz,2.0,"['KMAntenne', 'JAM']",2.0,0.0,2.0,0.0
02100103,Am Berlin Museum,1.0,['KiJuKuZ KinderJugendKulturZentrum Alte Feuerwache e.V.'],1.0,0.0,1.0,0.0
02100104,Moritzplatz,1.0,"['Kinderfreizeithaus ""Kleine Ritterburg""']",1.0,0.0,1.0,0.0
02100105,Prinzenstraße,,,,,,
02100106,Wassertorplatz,3.0,"['Statthaus Böcklerpark', 'Loyal e.V.', 'Loyal e.V.']",3.0,0.0,3.0,0.0
02200207,Gleisdreieck,1.0,['M*UFO5 Kinderfreizeit'],1.0,0.0,1.0,0.0
02200208,Rathaus Yorckstraße,,,,,,
02200209,Viktoriapark,,,,,,
02200210,Urbanstraße,,,,,,
02200211,Chamissokiez,2.0,"['DTK-Wasserturm', 'Kinder- und Jugendeinrichtung breakout']",2.0,0.0,1.0,1.0
02200212,Graefekiez Süd,2.0,"['Jugendtreff drehpunkt', 'Kinderfreizeiteinrichtung Graefekids']",2.0,0.0,2.0,0.0
02200213,Graefekiez Nord,,,,,,
