PLR_ID,PLR_NAME,kita_count,kita_names
01100101,Stülerstraße,1.0,['Kenntnisreich Kindertagesstätte Am Zoo']
01100102,Großer Tiergarten,,
01100103,Lützowstraße,5.0,"['KITA Sonnenschein', 'EKT - Cocorico et Co', 'AWO Kita Maulwurf', 'Kita Lützowstraße', 'Kita Bahnhof']"
01100104,Körnerstraße,2.0,"['KiBiLuga', 'FRÖBEL Kindergarten Stepping Stones']"
01100205,Wilhelmstraße,6.0,"['Kita Kinderwelt', 'Kindergarten Alegria', 'Kita im BMAS', 'Kita im BMEL', 'Jump Bilingual Kindergarten', 'FRÖBEL-Kindergarten']"
01100206,Unter den Linden,2.0,"['Kita Französische Str. 16a u. 16b', 'Kita im BMFSFJ']"
01100207,Leipziger Straße,5.0,"['Kita Jerusalemer Str. 10/12/Kigä City', 'Kita Umka', 'Kindergarten Alegria Jardin infantil', 'Musikkindergarten Berlin', 'Alegria Kiga']"
01100308,Charitéviertel,10.0,"['Kita F.A.I.R.play', 'Kita Pelikan', 'Kita Kinderakademie', 'Kita Habersaathstraße', 'Kita CASA AZUL - MAISON BLEUE', 'Kita BMBF', 'FRÖBEL - Kindergarten Charité Mitte', 'Kita Feuerfalter', 'FRÖBEL-Kindergarten in der Charite Rahel Hirsch', 'Kita Wasserflöhe']"
01100309,Oranienburger Straße,10.0,"['Kita Kleine Auguststr. 10/11Kigä City', 'Kita Pfiffikus', 'Ev. Kita Sophien', 'EKT - ""Pippi Langstrumpf""', 'EKT NaturKindergarten Berlin Mitte', 'Berlin Metropolitan School', 'Kita Torstraße', 'Kinderinsel Ziegelstraße', 'Kita Steinstraße 27', 'Kita an der Humboldt-Universität zu Berlin']"
01100310,Alexanderplatzviertel,5.0,"['Kita Max-Beer-Str. 24/26/Kigä City', 'Kinderinsel MITTEndrin', 'Kinderinsel Nebenan', 'Kita am Alex', 'El Mundo de Los Ninos']"
01100311,Karl-Marx-Allee,4.0,"['Lichtenberger Straße 32/33', 'FRÖBEL Kindergarten ""Traumzauberbaum""', 'Kita Weydemeyerstr. 20/21', 'Kita Jacoby-Schwalbe']"
01100312,Heine-Viertel West,4.0,"['FRÖBEL Kindergarten ""Schatzinsel""', 'Kita Villa Murkelmaier', 'Kita Pusteblume', 'Kleiner Fratz']"
01100313,Heine-Viertel Ost,5.0,"['Kita Trauminsel', 'Kita Adalbertstraße 24', 'Kila Spreepferdchen', 'Kita Spreefeld', 'Kita Schmidchen']"
01100414,Nordbahnhof,1.0,['Kita jurella am Park']
01100415,Invalidenstraße,9.0,"['Kita Gartenstr. 107/Kigä City', 'Kita St. Elisabeth', 'Kita Kinderinsel', 'EKT - Rosinante', 'Kita Cavalo-Marinho/Portubi e.V.', 'FRÖBEL Kindergarten Mittendrin', 'BCS Kindergarten Preschool', 'Kita ""Emil Kirschkern""', 'Jump Bilingual Kindergarten']"
