PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Stülerstraße,01100101,2,Mittel,2,Mittel,1,Niedrig
Großer Tiergarten,01100102,4,Stark erhöht,3,Erhöht,4,Stark erhöht
Lützowstraße,01100103,3,Erhöht,3,Erhöht,2,Mittel
Körnerstraße,01100104,2,Mittel,2,Mittel,2,Mittel
Wilhelmstraße,01100205,3,Erhöht,2,Mittel,3,Erhöht
Unter den Linden,01100206,4,Stark erhöht,4,Stark erhöht,4,Stark erhöht
Leipziger Straße,01100207,2,Mittel,2,Mittel,2,Mittel
Charitéviertel,01100308,2,Mittel,2,Mittel,2,Mittel
Oranienburger Straße,01100309,3,Erhöht,2,Mittel,2,Mittel
Alexanderplatzviertel,01100310,4,Stark erhöht,3,Erhöht,4,Stark erhöht
Karl-Marx-Allee,01100311,2,Mittel,2,Mittel,3,Erhöht
Heine-Viertel West,01100312,2,Mittel,2,Mittel,1,Niedrig
Heine-Viertel Ost,01100313,2,Mittel,2,Mittel,2,Mittel
Nordbahnhof,01100414,2,Mittel,2,Mittel,1,Niedrig
Invalidenstraße,01100415,2,Mittel,1,Niedrig,2,Mittel
Arkonaplatz,01100416,2,Mittel,1,Niedrig,2,Mittel
Huttenkiez,01200517,3,Erhöht,3,Erhöht,4,Stark erhöht
Beusselkiez,01200518,2,Mittel,3,Erhöht,2,Mittel
Emdener Straße,01200519,2,Mittel,2,Mittel,2,Mittel
Bremer Straße,01200520,2,Mittel,2,Mittel,2,Mittel
Zwinglistraße,01200521,2,Mittel,3,Erhöht,2,Mittel
Elberfelder Straße,01200522,2,Mittel,1,Niedrig,2,Mittel
Stephankiez,01200623,2,Mittel,2,Mittel,3,Erhöht
Heidestraße,01200624,2,Mittel,2,Mittel,2,Mittel
Lübecker Straße,01200625,2,Mittel,3,Erhöht,2,Mittel
Thomasiusstraße,01200626,2,Mittel,2,Mittel,1,Niedrig
Zillesiedlung,01200627,2,Mittel,2,Mittel,2,Mittel
Lüneburger Straße,01200628,4,Stark erhöht,3,Erhöht,4,Stark erhöht
Hansaviertel,01200629,2,Mittel,1,Niedrig,2,Mittel
Drontheimer Straße,01300730,3,Erhöht,4,Stark erhöht,3,Erhöht
Koloniestraße,01300731,2,Mittel,3,Erhöht,2,Mittel
Soldiner Straße,01300732,2,Mittel,3,Erhöht,2,Mittel
Gesundbrunnen,01300733,3,Erhöht,3,Erhöht,3,Erhöht
Brunnenstraße,01300834,2,Mittel,3,Erhöht,3,Erhöht
Humboldthain Süd,01300835,2,Mittel,2,Mittel,2,Mittel
Humboldthain Nordwest,01300836,3,Erhöht,3,Erhöht,3,Erhöht
