PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Stülerstraße,01100101,Mittel,Mittel,Niedrig
Großer Tiergarten,01100102,Stark erhöht,Erhöht,Stark erhöht
Lützowstraße,01100103,Erhöht,Erhöht,Mittel
Körnerstraße,01100104,Mittel,Mittel,Mittel
Wilhelmstraße,01100205,Erhöht,Mittel,Erhöht
Unter den Linden,01100206,Stark erhöht,Stark erhöht,Stark erhöht
Leipziger Straße,01100207,Mittel,Mittel,Mittel
Charitéviertel,01100308,Mittel,Mittel,Mittel
Oranienburger Straße,01100309,Erhöht,Mittel,Mittel
Alexanderplatzviertel,01100310,Stark erhöht,Erhöht,Stark erhöht
Karl-Marx-Allee,01100311,Mittel,Mittel,Erhöht
Heine-Viertel West,01100312,Mittel,Mittel,Niedrig
Heine-Viertel Ost,01100313,Mittel,Mittel,Mittel
Nordbahnhof,01100414,Mittel,Mittel,Niedrig
Invalidenstraße,01100415,Mittel,Niedrig,Mittel
Arkonaplatz,01100416,Mittel,Niedrig,Mittel
Huttenkiez,01200517,Erhöht,Erhöht,Stark erhöht
Beusselkiez,01200518,Mittel,Erhöht,Mittel
Emdener Straße,01200519,Mittel,Mittel,Mittel
Bremer Straße,01200520,Mittel,Mittel,Mittel
Zwinglistraße,01200521,Mittel,Erhöht,Mittel
Elberfelder Straße,01200522,Mittel,Niedrig,Mittel
Stephankiez,01200623,Mittel,Mittel,Erhöht
Heidestraße,01200624,Mittel,Mittel,Mittel
Lübecker Straße,01200625,Mittel,Erhöht,Mittel
Thomasiusstraße,01200626,Mittel,Mittel,Niedrig
Zillesiedlung,01200627,Mittel,Mittel,Mittel
Lüneburger Straße,01200628,Stark erhöht,Erhöht,Stark erhöht
Hansaviertel,01200629,Mittel,Niedrig,Mittel
Drontheimer Straße,01300730,Erhöht,Stark erhöht,Erhöht
Koloniestraße,01300731,Mittel,Erhöht,Mittel
Soldiner Straße,01300732,Mittel,Erhöht,Mittel
Gesundbrunnen,01300733,Erhöht,Erhöht,Erhöht
Brunnenstraße,01300834,Mittel,Erhöht,Erhöht
