PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
Stülerstraße,01100101,3419,4.22594,8.04329,19.39799,1.46443,0.38963,3.96175,2,mittel,5,negativ,"Status mittel , Dynamik negativ",2.82,25.62,9.73,83.18,59.93,40.57,-1.31,70.44,8.55,0,55.92,38.36,0.51,-4.83
Großer Tiergarten,01100102,1791,1.15858,3.46175,8.33333,0.24344,0.92619,4.92424,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,26.97,4.59,88.28,66.95,50.75,6.17,71.29,3.08,0.61,40.15,49.56,5.18,1.51
Lützowstraße,01100103,5211,5.31544,15.52485,32.63158,0.93486,-2.16074,-4.86842,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.85,27.27,20.2,80.8,58.36,35.56,0.8,65.84,21.04,6.04,57.49,29.78,2.41,0.3
Körnerstraße,01100104,4636,6.18102,18.01122,39.93994,1.249,-0.7112,-2.65548,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.38,24.24,28.32,79.95,64.58,38.55,-1.4,75.94,25.29,8.24,59.03,32.69,-2.09,-2.65
Wilhelmstraße,01100205,2573,2.8826,6.33502,19.75806,0.50703,-1.64835,0.72821,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.52,20.2,4.32,85.62,61.91,44.07,3.08,74.25,7.05,0,56.44,42.22,3.04,-5.98
Unter den Linden,01100206,1803,2.15613,4.93622,12.90323,0.5748,1.44452,5.0719,2,mittel,5,negativ,"Status mittel , Dynamik negativ",0,32.3,2.49,80.95,52.47,36.22,-0.36,68.45,5.94,0,50.79,34.69,1.29,-8.39
Leipziger Straße,01100207,8312,2.76734,6.641,18.89503,0.74055,-0.55794,-1.46493,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.11,19.94,4.64,79.71,51.62,33.85,0.55,68.05,10.67,0,54.21,30.87,-0.08,-4.52
Charitéviertel,01100308,6967,1.37665,2.61232,4.71807,0.42094,-0.07593,0.45048,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.88,23.75,3.38,54.28,44.17,30.9,0.36,60.15,3.89,0.3,50.52,37.97,-0.61,-11.17
Oranienburger Straße,01100309,12352,2.93421,6.33905,12.83743,0.90508,0.48477,1.73299,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.52,32.9,5.66,52.92,40.97,26.78,-0.49,63.57,10.52,0,63.34,27.41,-1.51,-3.79
Alexanderplatzviertel,01100310,9903,3.87555,8.23993,20.45908,0.77488,0.05911,0.50088,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.98,28.38,7.76,70.23,48.92,35.04,0.11,68.59,10.86,0,57.07,37.78,-0.61,-0.48
Karl-Marx-Allee,01100311,9013,6.76912,12.84811,38.72679,2.3115,-0.3239,1.31317,2,mittel,5,negativ,"Status mittel , Dynamik negativ",3.69,36.47,3.77,77.85,45.87,29.47,3.35,74.96,26.92,0,67.18,24.15,1.65,2.01
Heine-Viertel West,01100312,9422,3.08821,5.45532,13.89699,0.68764,-0.56191,-3.10301,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.16,22.18,2.59,69.44,44.45,29.35,3.12,75.19,8.55,0,54.47,31.61,6.83,12.29
Heine-Viertel Ost,01100313,10779,2.85963,6.2529,16.22074,0.71247,-0.19567,0.52047,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.23,25.18,2.47,62.22,46.08,31.05,1.18,70.15,9.73,0,55.74,31.95,0.31,-4.14
Nordbahnhof,01100414,5178,1.88818,4.21012,9.42285,0.6424,-0.50341,1.08952,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.43,13.96,6.77,68.16,53.82,40.09,-0.91,69.27,6.4,0,32.3,38.1,0.41,-2
Invalidenstraße,01100415,12593,2.05154,4.47074,7.09894,0.53161,-0.08937,-0.32627,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.4,29.24,6.86,47,40.04,26.7,-1.32,59.99,6.69,0,61.08,31.91,-1.88,-7.22
Arkonaplatz,01100416,13443,2.08215,3.56319,5.6926,0.90437,0.27994,1.97845,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.28,28.31,5.46,48.76,40.42,26.92,-0.75,56.92,5.61,0,57.61,30.31,-1.72,-6.32
Huttenkiez,01200517,3725,8.45687,21.90604,58.70021,1.57943,-3.55753,-8.48041,4,sehr niedrig,1,positiv,"Status sehr niedrig , Dynamik positiv",4.94,31.42,25.36,84.45,57.64,39.54,0.47,61.3,33.96,100,56.56,33.33,-2.03,-6.72
Beusselkiez,01200518,6866,7.92151,19.37081,51.0828,1.726,-2.6593,-1.83497,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",5.24,31.62,23.92,84.66,62.89,43.5,0.56,64.88,25.88,100,51.22,41.13,0.84,-6.03
Emdener Straße,01200519,9103,7.66146,16.34626,41.85149,2.2142,-3.38338,-7.10401,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.14,31.2,15.97,71.16,53.75,36.07,-0.01,65.28,27.01,99.44,57.28,33.42,-1.89,-10.72
Bremer Straße,01200520,9433,6.11907,13.57999,31.25573,1.60929,-1.83491,-1.86115,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.77,28.52,16.02,67.12,48.02,29.47,-0.12,66.44,23.52,100,61.56,28.71,-1.32,-6.24
Zwinglistraße,01200521,5235,7.64647,20.66858,51.39912,2.11354,-1.55774,-0.28155,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",5.19,28.57,22.73,80.82,58.97,36.68,-1.46,59.74,31.2,100,59.8,31.74,-2.06,-5.97
Elberfelder Straße,01200522,11333,3.64283,7.55316,13.63272,0.59354,-1.35149,-2.90209,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.15,23.67,7.71,51.62,35.6,20,-0.39,63.48,15.64,1.62,68.22,22.33,-0.54,-4.15
Stephankiez,01200623,10825,5.70825,13.69053,28.66521,1.7046,-1.96196,-5.39494,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.89,23.71,16.06,68.5,50.49,30.67,-0.7,64.76,23.41,99.97,59.26,30.98,-1.55,-4.89
Heidestraße,01200624,5178,3.53391,9.34724,21.7033,-1.53666,-7.36619,-11.63003,2,mittel,1,positiv,"Status mittel , Dynamik positiv",3.54,15.83,14.12,84.08,67.32,45.19,10.2,74.66,9.07,55.02,22.71,72.65,42.94,33.44
Lübecker Straße,01200625,6976,9.47838,22.19037,47.30769,2.72571,-3.10964,-2.73629,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.6,28.36,19.43,81.78,59.76,34.03,0.34,70.35,35.95,100,67.36,24.67,-0.79,-5.07
Thomasiusstraße,01200626,5935,3.40485,8.34035,16.69107,1.03683,-0.78409,2.85648,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.04,22.82,10.06,58.24,42.9,25.73,-2.72,61.82,12.08,0.52,63.19,34.77,-2.55,-1.3
