PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
01011101,Stülerstraße,3419,0.66,2,41.34
01011103,Lützowstraße,5211,8.38,1.85,43.28
01011104,Körnerstraße,4636,12.76,1.37,32.44
01011105,Nördlicher Landwehrkanal,1599,0,2.65,75.22
01011201,Wilhelmstraße,2573,9.34,2.44,48.45
01011202,Unter den Linden Nord,646,10.65,2.27,66.19
01011203,Unter den Linden Süd,1157,38.17,2.08,57.54
01011204,Leipziger Straße,8312,31.42,2,45.63
01011301,Charitéviertel,6967,6.73,2.05,51.04
01011302,Oranienburger Straße,12352,23.19,2.02,47.13
01011303,Alexanderplatzviertel,9903,42.01,1.88,38.29
01011304,Karl-Marx-Allee,9013,45.16,1.86,34.38
01011305,Heine-Viertel West,9422,10.7,1.85,37.44
01011306,Heine-Viertel Ost,10779,14.06,1.59,32.54
01011401,Invalidenstraße,17771,3.25,1.74,41.38
01011402,Arkonaplatz,13443,3.39,1.8,40.35
01022101,Huttenkiez,3450,1.62,1.55,34.82
01022102,Beusselkiez,6866,4.58,1.43,30.18
01022104,Emdener Straße,18536,4.09,1.69,36.61
01022105,Zwinglistraße,5235,3,1.48,32.47
01022106,Elberfelder Straße,11333,0.66,1.91,42.54
01022201,Stephankiez,10825,0.26,1.69,37.8
01022202,Heidestraße,5178,11.23,1.55,41.39
01022203,Lübecker Straße,6976,14.68,1.51,31.75
01022204,Thomasiusstraße,5935,0.11,1.85,42.84
01022205,Zillesiedlung,3280,34.44,1.26,29.76
01022206,Lüneburger Straße,3132,0,1.95,47.83
01022207,Hansaviertel,5807,1.16,1.92,42.13
01033101,Soldiner Straße,26381,15.22,1.43,29.41
01033102,Gesundbrunnen,11665,9.53,1.5,30.84
01033201,Brunnenstraße,14193,44.01,1.46,29.9
01033202,Humboldthain Süd,10443,25.22,1.52,31.98
01033203,Humboldthain Nordwest,14657,9.27,1.45,29.91
01044101,Rehberge,20529,8.07,1.64,33.9
01044102,Schillerpark,16506,46.34,1.74,33.69
01044103,Westliche Müllerstraße,8643,7.54,1.6,33.57
01044201,Reinickendorfer Straße,23685,14.36,1.35,29.06
01044202,Sparrplatz,16648,3.8,1.51,31.66
01044203,Leopoldplatz,15787,9.58,1.58,33.38
02010101,Askanischer Platz,6281,11.74,1.69,35.21
02010102,Mehringplatz,14029,31.02,1.48,31
02010103,Moritzplatz,15171,42.18,1.47,29.06
02010104,Wassertorplatz,5009,5.54,1.48,32.21
02020201,Gleisdreieck/Entwicklungsgebiet,2067,2.72,1.47,39.01
02020202,Rathaus Yorckstraße,6008,2.64,1.69,38.71
02020203,Viktoriapark,10969,0.11,1.86,43.15
02020204,Urbanstraße,12384,0.5,1.77,38.92
02020205,Chamissokiez,14760,17.79,1.82,40.92
02020206,Graefekiez,18886,1.29,1.69,38.66
02030301,Oranienplatz,8775,20.53,1.51,32.38
02030302,Lausitzer Platz,12938,15.31,1.65,36.08
02030401,Reichenberger Straße,14955,2.63,1.66,38.82
02030402,Wrangelkiez,10903,4.44,1.68,37.71
02040501,Barnimkiez,5451,70.64,1.98,33.75
02040502,Friedenstraße,7858,43.97,1.83,38.03
02040503,Richard-Sorge-Viertel,11262,30.02,1.76,37.38
02040701,Andreasviertel,13307,52.72,1.62,33.04
02040702,Weberwiese,11314,13.96,1.73,39.73
02040703,Wriezener Bahnhof/Entwicklungsgebiet,1136,0,1.6,36.96
02050601,Hausburgviertel,9134,11.97,1.72,38.25
02050602,Samariterviertel,22173,6.38,1.69,38.01
02050801,Traveplatz,20872,12.69,1.67,36.57
02050802,Boxhagener Platz,21568,4,1.72,39.4
02050803,Stralauer Kiez,7868,10.42,1.9,41.46
02050804,Stralauer Halbinsel,4709,8.01,1.45,37.49
03010101,Bucher Forst,4305,25.48,1.93,41.39
03010102,Buch,12165,51.88,1.84,32.24
03020203,Blankenfelde,2058,1.2,2.1,46.57
03020209,Niederschönhausen,15100,6.08,1.76,40.74
03020210,Herthaplatz,11464,3.93,1.84,40.66
03020307,Buchholz,18419,1.09,1.77,40.07
03030405,Karow Nord,11455,8.51,1.92,35.19
03030406,Alt-Karow,8239,0.05,2.1,47.32
03030711,Blankenburg,6913,0.48,2.1,46.44
03030715,Heinersdorf,7779,9.16,1.98,42.85
03030716,Märchenland,1120,0,2.23,45.86
03040508,Rosenthal,4742,1.13,1.91,43.12
03040512,Wilhelmsruh,10438,3.66,1.99,41.06
03040513,Schönholz,3509,0.33,1.88,42.71
03040614,Pankow Zentrum,37240,26.73,1.83,39.05
03040818,Pankow Süd,35738,21.71,1.94,38
03050919,Gustav-Adolf-Straße,5096,45.81,2.08,37.04
03050920,Weißer See,7551,15.2,1.83,38.05
03050923,Weißenseer Spitze,10049,13.43,1.74,37.75
03050924,Behaimstraße,6407,20.5,1.81,38.96
03050925,Komponistenviertel Weißensee,9819,15.27,1.79,37.29
03051017,Rennbahnstraße,4212,10.53,1.78,38.3
03051021,Buschallee,6981,29.74,2.02,35.62
03051022,Hansastraße,4640,25.39,1.97,35.68
03061126,Arnimplatz,16255,6.66,1.75,39.77
03061131,Falkplatz,10744,6.44,1.74,39.74
03061227,Humannplatz,14632,15.31,1.84,39.69
03061228,Erich-Weinert-Straße,12813,26.96,1.89,36.79
03061332,Helmholtzplatz,22534,5.95,1.79,42.48
03061429,Greifswalder Straße,9970,31.48,2.07,35.94
03061430,Volkspark Prenzlauer Berg,3965,40.71,1.55,26.56
03061434,Anton-Saefkow-Park,6373,17.89,1.96,38.63
03061435,Conrad-Blenkle-Straße,4063,34.39,1.86,35.07
03061441,Eldenaer Straße,2825,0,1.33,37.57
03071536,Teutoburger Platz,11328,8.89,1.8,42.13
03071537,Kollwitzplatz,15930,8.92,1.87,44.33
03071633,Thälmannpark,3188,61.1,1.92,37.69
03071638,Winsstraße,17612,7.47,1.75,40.7
03071639,Bötzowstraße,12823,15.92,1.77,41.69
04010101,Jungfernheide,10765,19.35,1.8,31.47
04010102,Plötzensee,783,0,1.67,43.75
04010103,Paul-Hertz-Siedlung,7855,94.13,1.67,31.67
04020205,Siedlung Ruhleben,1304,11,2.18,49.27
04020206,Angerburger Allee,2832,0,2.3,49.17
04020207,Flatowallee,2569,0,2.15,50.97
04020208,Kranzallee,2963,3.85,2.14,55.06
04020209,Eichkamp,3140,0,2,45.2
04020310,Park Ruhwald,806,0,0.94,22.97
04020311,Reichsstraße,14745,1.24,2.11,47.78
04020312,Branitzer Platz,5573,4.01,1.94,45.91
04020313,Königin-Elisabeth-Straße,7212,11.44,1.94,40.55
04030415,Schloßgarten,3329,0,1.62,38.63
04030416,Klausenerplatz,10334,44.06,1.62,35.21
04030417,Schloßstraße,10786,1.48,1.92,42.99
04030518,Tegeler Weg,9637,0.6,1.9,38.32
04030519,Kaiserin-Augusta-Allee,5930,11.99,1.8,39.27
04030620,Alt-Lietzow,8859,2.53,1.79,38.57
04030621,Spreestadt,3429,3.5,1.67,41.53
04030622,Richard-Wagner-Straße,10811,14.69,1.81,39.6
04030623,Ernst-Reuter-Platz,5157,21.93,1.83,40.9
04030724,Lietzensee,6488,2.41,1.86,43.6
04030725,Amtsgerichtsplatz,12142,1.23,1.85,43.63
04030726,Droysenstraße,5641,2.58,1.95,46.74
04030827,Karl-August-Platz,12155,0.96,1.69,37.92
04030828,Savignyplatz,9538,4.3,1.95,46.57
04030929,Hindemithplatz,5964,1.44,2.12,51.71
