ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,S1,S1_SD_GR,S1_AG_GR,S2,S2_SD_GR,S2_AG_GR,S3,S3_SD_GR,S3_AG_GR,S4,S4_SD_GR,S4_AG_GR,D1,D1_SD_GR,D1_AG_GR,D2,D2_SD_GR,D2_AG_GR,D3,D3_SD_GR,D3_AG_GR,D4,D4_SD_GR,D4_AG_GR,KOM
202012,"01100101",Stülerstraße,3419,"01",4.22594,2,3,,,,8.04329,2,2,19.39799,2,2,1.46443,2,5,,,,0.38963,2,4,3.96175,3,5,gültig
202012,"01100102",Großer Tiergarten,1791,"01",1.15858,1,1,,,,3.46175,1,1,8.33333,2,1,0.24344,2,4,,,,0.92619,3,4,4.92424,3,6,gültig
202012,"01100103",Lützowstraße,5211,"01",5.31544,2,3,,,,15.52485,2,4,32.63158,2,4,0.93486,2,4,,,,-2.16074,2,1,-4.86842,1,1,gültig
202012,"01100104",Körnerstraße,4636,"01",6.18102,2,4,,,,18.01122,3,4,39.93994,2,4,1.249,2,5,,,,-0.7112,2,3,-2.65548,2,2,gültig
202012,"01100205",Wilhelmstraße,2573,"01",2.8826,2,2,,,,6.33502,2,2,19.75806,2,2,0.50703,2,4,,,,-1.64835,2,2,0.72821,2,4,gültig
202012,"01100206",Unter den Linden,1803,"01",2.15613,2,2,,,,4.93622,2,1,12.90323,2,2,0.5748,2,4,,,,1.44452,3,5,5.0719,3,6,gültig
202012,"01100207",Leipziger Straße,8312,"01",2.76734,2,2,,,,6.641,2,2,18.89503,2,2,0.74055,2,4,,,,-0.55794,2,3,-1.46493,2,3,gültig
202012,"01100308",Charitéviertel,6967,"01",1.37665,1,1,,,,2.61232,1,1,4.71807,1,1,0.42094,2,4,,,,-0.07593,2,3,0.45048,2,4,gültig
202012,"01100309",Oranienburger Straße,12352,"01",2.93421,2,2,,,,6.33905,2,2,12.83743,2,2,0.90508,2,4,,,,0.48477,2,4,1.73299,2,4,gültig
202012,"01100310",Alexanderplatzviertel,9903,"01",3.87555,2,2,,,,8.23993,2,2,20.45908,2,3,0.77488,2,4,,,,0.05911,2,4,0.50088,2,4,gültig
202012,"01100311",Karl-Marx-Allee,9013,"01",6.76912,2,4,,,,12.84811,2,3,38.72679,2,4,2.3115,3,6,,,,-0.3239,2,3,1.31317,2,4,gültig
202012,"01100312",Heine-Viertel West,9422,"01",3.08821,2,2,,,,5.45532,2,2,13.89699,2,2,0.68764,2,4,,,,-0.56191,2,3,-3.10301,2,2,gültig
202012,"01100313",Heine-Viertel Ost,10779,"01",2.85963,2,2,,,,6.2529,2,2,16.22074,2,2,0.71247,2,4,,,,-0.19567,2,3,0.52047,2,4,gültig
202012,"01100414",Nordbahnhof,5178,"01",1.88818,1,1,,,,4.21012,2,1,9.42285,2,1,0.6424,2,4,,,,-0.50341,2,3,1.08952,2,4,gültig
202012,"01100415",Invalidenstraße,12593,"01",2.05154,2,2,,,,4.47074,2,1,7.09894,1,1,0.53161,2,4,,,,-0.08937,2,3,-0.32627,2,3,gültig
202012,"01100416",Arkonaplatz,13443,"01",2.08215,2,2,,,,3.56319,1,1,5.6926,1,1,0.90437,2,4,,,,0.27994,2,4,1.97845,2,4,gültig
202012,"01200517",Huttenkiez,3725,"01",8.45687,3,5,,,,21.90604,4,5,58.70021,4,5,1.57943,2,5,,,,-3.55753,1,1,-8.48041,1,1,gültig
202012,"01200518",Beusselkiez,6866,"01",7.92151,3,4,,,,19.37081,3,4,51.0828,4,5,1.726,2,5,,,,-2.6593,1,1,-1.83497,2,3,gültig
202012,"01200519",Emdener Straße,9103,"01",7.66146,2,4,,,,16.34626,2,4,41.85149,3,5,2.2142,3,6,,,,-3.38338,1,1,-7.10401,1,1,gültig
202012,"01200520",Bremer Straße,9433,"01",6.11907,2,4,,,,13.57999,2,3,31.25573,2,4,1.60929,2,5,,,,-1.83491,2,2,-1.86115,2,3,gültig
202012,"01200521",Zwinglistraße,5235,"01",7.64647,2,4,,,,20.66858,3,5,51.39912,4,5,2.11354,3,6,,,,-1.55774,2,2,-0.28155,2,3,gültig
202012,"01200522",Elberfelder Straße,11333,"01",3.64283,2,2,,,,7.55316,2,2,13.63272,2,2,0.59354,2,4,,,,-1.35149,2,2,-2.90209,2,2,gültig
202012,"01200623",Stephankiez,10825,"01",5.70825,2,3,,,,13.69053,2,3,28.66521,2,3,1.7046,2,5,,,,-1.96196,2,2,-5.39494,1,1,gültig
202012,"01200624",Heidestraße,5178,"01",3.53391,2,2,,,,9.34724,2,2,21.7033,2,3,-1.53666,1,2,,,,-7.36619,1,1,-11.63003,1,1,gültig
202012,"01200625",Lübecker Straße,6976,"01",9.47838,4,5,,,,22.19037,4,5,47.30769,3,5,2.72571,3,6,,,,-3.10964,1,1,-2.73629,2,2,gültig
202012,"01200626",Thomasiusstraße,5935,"01",3.40485,2,2,,,,8.34035,2,2,16.69107,2,2,1.03683,2,5,,,,-0.78409,2,3,2.85648,3,5,gültig
202012,"01200627",Zillesiedlung,3280,"01",11.22497,4,5,,,,25.73171,4,5,46.27575,3,5,4.57029,3,6,,,,-0.15661,2,3,8.83733,3,6,gültig
202012,"01200628",Lüneburger Straße,3132,"01",2.97114,2,2,,,,8.42912,2,2,13.39286,2,2,-0.42323,1,3,,,,-0.60505,2,3,-0.93379,2,3,gültig
202012,"01200629",Hansaviertel,5807,"01",2.6405,2,2,,,,6.73325,2,2,14.08776,2,2,0.31942,2,4,,,,-0.54452,2,3,-0.5634,2,3,gültig
202012,"01300730",Drontheimer Straße,7957,"01",12.874,4,5,,,,29.88564,4,5,65.31184,4,5,4.07387,3,6,,,,-3.90597,1,1,-2.36903,2,2,gültig
202012,"01300731",Koloniestraße,8545,"01",10.63864,4,5,,,,26.28438,4,5,61.98347,4,5,2.7854,3,6,,,,-3.73843,1,1,-1.45426,2,3,gültig
202012,"01300732",Soldiner Straße,9879,"01",10.81823,4,5,,,,27.62425,4,5,61.62034,4,5,2.76091,3,6,,,,-3.0859,1,1,-5.26549,1,1,gültig
202012,"01300733",Gesundbrunnen,11665,"01",9.30286,3,5,,,,23.87484,4,5,55.9633,4,5,2.94275,3,6,,,,-1.63291,2,2,0.69448,2,4,gültig
202012,"01300834",Brunnenstraße,14193,"01",10.46059,4,5,,,,27.34447,4,5,52.3088,4,5,3.39883,3,6,,,,-2.93788,1,1,-3.06615,2,2,gültig
202012,"01300835",Humboldthain Süd,10443,"01",7.65557,2,4,,,,20.09001,3,5,44.77887,3,5,2.20995,3,6,,,,-1.93861,2,2,-1.80073,2,3,gültig
202012,"01300836",Humboldthain Nordwest,14657,"01",10.68295,4,5,,,,26.0831,4,5,61.47578,4,5,3.05583,3,6,,,,-2.88721,1,1,-0.42898,2,3,gültig
202012,"01400937",Afrikanische Straße,10804,"01",8.06597,3,5,,,,17.39171,2,4,42.90008,3,5,1.92969,2,5,,,,-2.28131,2,1,-5.28805,1,1,gültig
202012,"01400938",Kameruner Straße,9725,"01",7.75226,2,4,,,,17.52185,2,4,46.3353,3,5,2.22322,3,6,,,,-1.86295,2,2,-3.70538,2,2,gültig
202012,"01400939",Glasgower Straße,5926,"01",8.05354,3,5,,,,17.58353,2,4,45.20918,3,5,2.3232,3,6,,,,-1.99087,2,2,-2.48956,2,2,gültig
202012,"01400940",Schillerpark,6794,"01",7.88804,2,4,,,,16.57345,2,4,43.34061,3,5,2.35681,3,6,,,,-3.01928,1,1,-2.92158,2,2,gültig
202012,"01400941",Londoner Straße,3786,"01",7.03448,2,4,,,,13.99894,2,3,42.34694,3,5,2.20532,3,6,,,,-1.72876,2,2,-2.73078,2,2,gültig
202012,"01400942",Westliche Müllerstraße,8643,"01",7.1553,2,4,,,,17.14682,2,4,47.6828,3,5,1.59654,2,5,,,,-2.90154,1,1,-6.62582,1,1,gültig
202012,"01401043",Antonstraße,7739,"01",10.77886,4,5,,,,26.95439,4,5,60.18779,4,5,2.09216,3,6,,,,-3.25078,1,1,-3.40013,2,2,gültig
202012,"01401044",Uferstraße,10224,"01",10.3426,4,5,,,,26.24218,4,5,62.31884,4,5,2.80861,3,6,,,,-3.48215,1,1,-6.90211,1,1,gültig
202012,"01401045",Schwedenstraße,5722,"01",10.907,4,5,,,,27.36805,4,5,59.93624,4,5,4.21686,3,6,,,,-2.63195,1,1,-0.8885,2,3,gültig
202012,"01401046",Nordufer,8781,"01",7.05882,2,4,,,,14.95274,2,3,34.69602,2,4,1.54933,2,5,,,,-2.44144,1,1,-7.71851,1,1,gültig
202012,"01401047",Sparrplatz,7867,"01",7.95526,3,4,,,,18.91445,3,4,51.68651,4,5,2.07742,3,6,,,,-4.07934,1,1,-7.06947,1,1,gültig
202012,"01401048",Leopoldplatz,9098,"01",8.90001,3,5,,,,21.64212,4,5,51.91606,4,5,1.92771,2,5,,,,-3.12091,1,1,-1.52771,2,3,gültig
202012,"01401049",Schulstraße,6689,"01",11.32157,4,5,,,,26.87995,4,5,65.13234,4,5,2.80344,3,6,,,,-3.24498,1,1,-1.60495,2,3,gültig
202012,"02100101",Askanischer Platz,6281,"02",8.42778,3,5,,,,21.17497,3,5,44.22404,3,5,2.35628,3,6,,,,0.04057,2,4,3.99535,3,5,gültig
202012,"02100102",Mehringplatz,8647,"02",11.04756,4,5,,,,27.33896,4,5,53.43728,4,5,2.5186,3,6,,,,-2.11115,2,1,-2.60992,2,2,gültig
202012,"02100103",Am Berlin Museum,5382,"02",10.45886,4,5,,,,25.23226,4,5,50.76253,4,5,2.77273,3,6,,,,-1.94186,2,2,3.81719,3,5,gültig
202012,"02100104",Moritzplatz,5567,"02",12.0437,4,5,,,,26.76486,4,5,56.93512,4,5,2.28274,3,6,,,,-1.50105,2,2,3.51897,3,5,gültig
