ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,SI_N,SI_V,DI_N,DI_V,SDI,SDI_N,SDI_V,KOM
202012,"01100101",Stülerstraße,3419,"01",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"01100102",Großer Tiergarten,1791,"01",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"01100103",Lützowstraße,5211,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100104",Körnerstraße,4636,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100205",Wilhelmstraße,2573,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100206",Unter den Linden,1803,"01",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"01100207",Leipziger Straße,8312,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100308",Charitéviertel,6967,"01",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"01100309",Oranienburger Straße,12352,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100310",Alexanderplatzviertel,9903,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100311",Karl-Marx-Allee,9013,"01",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"01100312",Heine-Viertel West,9422,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100313",Heine-Viertel Ost,10779,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100414",Nordbahnhof,5178,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100415",Invalidenstraße,12593,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01100416",Arkonaplatz,13443,"01",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"01200517",Huttenkiez,3725,"01",4,sehr niedrig,1,positiv,4+,41,"Status sehr niedrig , Dynamik positiv",gültig
202012,"01200518",Beusselkiez,6866,"01",3,niedrig,3,stabil,3+/-,33,"Status niedrig , Dynamik stabil",gültig
202012,"01200519",Emdener Straße,9103,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200520",Bremer Straße,9433,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200521",Zwinglistraße,5235,"01",3,niedrig,3,stabil,3+/-,33,"Status niedrig , Dynamik stabil",gültig
202012,"01200522",Elberfelder Straße,11333,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200623",Stephankiez,10825,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200624",Heidestraße,5178,"01",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"01200625",Lübecker Straße,6976,"01",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"01200626",Thomasiusstraße,5935,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200627",Zillesiedlung,3280,"01",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"01200628",Lüneburger Straße,3132,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"01200629",Hansaviertel,5807,"01",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
