ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"01100101",Stülerstraße,3419,"01",2.82,2,3,25.62,2,3,9.73,2,4,83.18,4,5,59.93,4,4,40.57,4,5,-1.31,1,3,70.44,2,4,8.55,1,1,,,,,,,,,0,1,55.92,1,2,38.36,4,0.51,2,4,-4.83,2,2,gültig
202012,"01100102",Großer Tiergarten,1791,"01",0,1,1,26.97,2,3,4.59,2,2,88.28,4,5,66.95,4,5,50.75,4,5,6.17,4,6,71.29,2,4,3.08,1,1,,,,,,,,,0.61,2,40.15,1,1,49.56,5,5.18,3,5,1.51,2,4,gültig
202012,"01100103",Lützowstraße,5211,"01",3.85,2,4,27.27,2,3,20.2,4,5,80.8,3,5,58.36,4,4,35.56,3,5,0.8,2,4,65.84,2,3,21.04,2,3,,,,,,,,,6.04,2,57.49,2,2,29.78,3,2.41,2,4,0.3,2,4,gültig
202012,"01100104",Körnerstraße,4636,"01",4.38,2,5,24.24,2,3,28.32,4,5,79.95,3,4,64.58,4,5,38.55,4,5,-1.4,1,3,75.94,3,4,25.29,2,3,,,,,,,,,8.24,2,59.03,2,2,32.69,4,-2.09,2,3,-2.65,2,3,gültig
202012,"01100205",Wilhelmstraße,2573,"01",2.52,2,3,20.2,1,3,4.32,2,2,85.62,4,5,61.91,4,5,44.07,4,5,3.08,3,5,74.25,3,4,7.05,1,1,,,,,,,,,0,1,56.44,1,2,42.22,5,3.04,2,5,-5.98,2,2,gültig
202012,"01100206",Unter den Linden,1803,"01",0,1,1,32.3,2,4,2.49,2,1,80.95,3,5,52.47,3,4,36.22,3,5,-0.36,2,3,68.45,2,3,5.94,1,1,,,,,,,,,0,1,50.79,1,2,34.69,4,1.29,2,4,-8.39,2,1,gültig
202012,"01100207",Leipziger Straße,8312,"01",2.11,2,3,19.94,1,2,4.64,2,2,79.71,3,4,51.62,3,4,33.85,3,5,0.55,2,4,68.05,2,3,10.67,1,2,,,,,,,,,0,1,54.21,1,2,30.87,4,-0.08,2,3,-4.52,2,2,gültig
202012,"01100308",Charitéviertel,6967,"01",0.88,2,1,23.75,2,3,3.38,2,2,54.28,2,3,44.17,2,3,30.9,2,5,0.36,2,4,60.15,2,3,3.89,1,1,,,,,,,,,0.3,2,50.52,1,2,37.97,4,-0.61,2,3,-11.17,1,1,gültig
202012,"01100309",Oranienburger Straße,12352,"01",1.52,2,2,32.9,2,4,5.66,2,3,52.92,2,3,40.97,2,3,26.78,2,4,-0.49,2,3,63.57,2,3,10.52,1,2,,,,,,,,,0,1,63.34,2,3,27.41,3,-1.51,2,3,-3.79,2,3,gültig
202012,"01100310",Alexanderplatzviertel,9903,"01",1.98,2,2,28.38,2,3,7.76,2,4,70.23,2,4,48.92,2,4,35.04,3,5,0.11,2,4,68.59,2,3,10.86,1,2,,,,,,,,,0,1,57.07,1,2,37.78,4,-0.61,2,3,-0.48,2,3,gültig
202012,"01100311",Karl-Marx-Allee,9013,"01",3.69,2,4,36.47,2,4,3.77,2,2,77.85,3,4,45.87,2,4,29.47,2,4,3.35,3,5,74.96,3,4,26.92,2,3,,,,,,,,,0,1,67.18,2,3,24.15,3,1.65,2,4,2.01,2,4,gültig
202012,"01100312",Heine-Viertel West,9422,"01",2.16,2,3,22.18,2,3,2.59,2,2,69.44,2,4,44.45,2,3,29.35,2,4,3.12,3,5,75.19,3,4,8.55,1,1,,,,,,,,,0,1,54.47,1,2,31.61,4,6.83,3,6,12.29,3,6,gültig
202012,"01100313",Heine-Viertel Ost,10779,"01",1.23,2,2,25.18,2,3,2.47,2,1,62.22,2,4,46.08,2,4,31.05,3,5,1.18,2,4,70.15,2,4,9.73,1,1,,,,,,,,,0,1,55.74,1,2,31.95,4,0.31,2,4,-4.14,2,2,gültig
202012,"01100414",Nordbahnhof,5178,"01",1.43,2,2,13.96,1,2,6.77,2,3,68.16,2,4,53.82,3,4,40.09,4,5,-0.91,1,3,69.27,2,3,6.4,1,1,,,,,,,,,0,1,32.3,1,1,38.1,4,0.41,2,4,-2,2,3,gültig
202012,"01100415",Invalidenstraße,12593,"01",1.4,2,2,29.24,2,3,6.86,2,3,47,2,3,40.04,2,3,26.7,2,4,-1.32,1,3,59.99,2,2,6.69,1,1,,,,,,,,,0,1,61.08,2,3,31.91,4,-1.88,2,3,-7.22,2,2,gültig
202012,"01100416",Arkoplatz,13443,"01",1.28,2,2,28.31,2,3,5.46,2,3,48.76,2,3,40.42,2,3,26.92,2,4,-0.75,2,3,56.92,1,2,5.61,1,1,,,,,,,,,0,1,57.61,2,2,30.31,4,-1.72,2,3,-6.32,2,2,gültig
202012,"01200517",Huttenkiez,3725,"01",4.94,2,5,31.42,2,4,25.36,4,5,84.45,4,5,57.64,3,4,39.54,4,5,0.47,2,4,61.3,2,3,33.96,2,4,,,,,,,,,100,6,56.56,1,2,33.33,4,-2.03,2,3,-6.72,2,2,gültig
202012,"01200518",Beusselkiez,6866,"01",5.24,2,5,31.62,2,4,23.92,4,5,84.66,4,5,62.89,4,5,43.5,4,5,0.56,2,4,64.88,2,3,25.88,2,3,,,,,,,,,100,6,51.22,1,2,41.13,5,0.84,2,4,-6.03,2,2,gültig
202012,"01200519",Emdener Straße,9103,"01",5.14,2,5,31.2,2,4,15.97,3,5,71.16,2,4,53.75,3,4,36.07,3,5,-0.01,2,3,65.28,2,3,27.01,2,3,,,,,,,,,99.44,5,57.28,2,2,33.42,4,-1.89,2,3,-10.72,1,1,gültig
202012,"01200520",Bremer Straße,9433,"01",4.77,2,5,28.52,2,3,16.02,3,5,67.12,2,4,48.02,2,4,29.47,2,4,-0.12,2,3,66.44,2,3,23.52,2,3,,,,,,,,,100,6,61.56,2,3,28.71,3,-1.32,2,3,-6.24,2,2,gültig
