ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"01011101",Stülerstraße,3419,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1,2,2,3,41.34,2,3,,,,,,,,,,,,,,gültig
202012,"01011102",Großer Tiergarten,192,"01",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"01011103",Lützowstraße,5211,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,2,1.85,2,3,43.28,2,3,,,,,,,,,,,,,,gültig
202012,"01011104",Körnerstraße,4636,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76,2,1.37,1,1,32.44,2,1,,,,,,,,,,,,,,gültig
202012,"01011105",Nördlicher Landwehrkanal,1599,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.65,4,5,75.22,4,5,,,,,,,,,,,,,,gültig
202012,"01011201",Wilhelmstraße,2573,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34,2,2.44,4,5,48.45,3,4,,,,,,,,,,,,,,gültig
202012,"01011202",Unter den Linden Nord,646,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65,2,2.27,4,5,66.19,4,5,,,,,,,,,,,,,,gültig
202012,"01011203",Unter den Linden Süd,1157,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,4,2.08,2,4,57.54,4,5,,,,,,,,,,,,,,gültig
202012,"01011204",Leipziger Straße,8312,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,31.42,4,2,2,4,45.63,2,4,,,,,,,,,,,,,,gültig
202012,"01011301",Charitéviertel,6967,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,2,2.05,2,4,51.04,4,5,,,,,,,,,,,,,,gültig
202012,"01011302",Oranienburger Straße,12352,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,23.19,3,2.02,2,4,47.13,3,4,,,,,,,,,,,,,,gültig
202012,"01011303",Alexanderplatzviertel,9903,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,42.01,4,1.88,2,3,38.29,2,2,,,,,,,,,,,,,,gültig
202012,"01011304",Karl-Marx-Allee,9013,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,45.16,5,1.86,2,3,34.38,2,1,,,,,,,,,,,,,,gültig
202012,"01011305",Heine-Viertel West,9422,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,2,1.85,2,3,37.44,2,2,,,,,,,,,,,,,,gültig
202012,"01011306",Heine-Viertel Ost,10779,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,2,1.59,2,2,32.54,2,1,,,,,,,,,,,,,,gültig
202012,"01011401",Invalidenstraße,17771,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,2,1.74,2,2,41.38,2,3,,,,,,,,,,,,,,gültig
202012,"01011402",Arkonaplatz,13443,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,2,1.8,2,3,40.35,2,3,,,,,,,,,,,,,,gültig
202012,"01022101",Huttenkiez,3450,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2,1.55,1,2,34.82,2,1,,,,,,,,,,,,,,gültig
202012,"01022102",Beusselkiez,6866,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,2,1.43,1,1,30.18,1,1,,,,,,,,,,,,,,gültig
202012,"01022103",Westhafen,275,"01",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"01022104",Emdener Straße,18536,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,2,1.69,2,2,36.61,2,2,,,,,,,,,,,,,,gültig
202012,"01022105",Zwinglistraße,5235,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1.48,1,1,32.47,2,1,,,,,,,,,,,,,,gültig
202012,"01022106",Elberfelder Straße,11333,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1,1.91,2,3,42.54,2,3,,,,,,,,,,,,,,gültig
202012,"01022201",Stephankiez,10825,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1,1.69,2,2,37.8,2,2,,,,,,,,,,,,,,gültig
202012,"01022202",Heidestraße,5178,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23,2,1.55,1,2,41.39,2,3,,,,,,,,,,,,,,gültig
