PLR_ID,PLR_NAME
01100101,Stülerstraße
01100102,Großer Tiergarten
01100103,Lützowstraße
01100104,Körnerstraße
01100205,Wilhelmstraße
01100206,Unter den Linden
01100207,Leipziger Straße
01100308,Charitéviertel
01100309,Oranienburger Straße
01100310,Alexanderplatzviertel
01100311,Karl-Marx-Allee
01100312,Heine-Viertel West
01100313,Heine-Viertel Ost
01100414,Nordbahnhof
01100415,Invalidenstraße
01100416,Arkonaplatz
01200517,Huttenkiez
01200518,Beusselkiez
01200519,Emdener Straße
01200520,Bremer Straße
01200521,Zwinglistraße
01200522,Elberfelder Straße
01200623,Stephankiez
01200624,Heidestraße
01200625,Lübecker Straße
01200626,Thomasiusstraße
01200627,Zillesiedlung
01200628,Lüneburger Straße
01200629,Hansaviertel
01300730,Drontheimer Straße
01300731,Koloniestraße
01300732,Soldiner Straße
01300733,Gesundbrunnen
01300834,Brunnenstraße
01300835,Humboldthain Süd
01300836,Humboldthain Nordwest
01400937,Afrikanische Straße
01400938,Kameruner Straße
01400939,Glasgower Straße
01400940,Schillerpark
01400941,Londoner Straße
01400942,Westliche Müllerstraße
01401043,Antonstraße
01401044,Uferstraße
01401045,Schwedenstraße
01401046,Nordufer
01401047,Sparrplatz
01401048,Leopoldplatz
01401049,Schulstraße
02100101,Askanischer Platz
02100102,Mehringplatz
02100103,Am Berlin Museum
02100104,Moritzplatz
02100105,Prinzenstraße
02100106,Wassertorplatz
02200207,Gleisdreieck
02200208,Rathaus Yorckstraße
02200209,Viktoriapark
02200210,Urbanstraße
02200211,Chamissokiez
02200212,Graefekiez Süd
02200213,Graefekiez Nord
02300314,Oranienplatz
02300315,Lausitzer Platz
02300316,Köpenicker Straße
02300417,Reichenberger Straße West
02300418,Reichenberger Straße Ost
02300419,Wrangelkiez
02400520,Barnimkiez
02400521,Friedenstraße
02400522,Richard-Sorge-Viertel
02400623,Andreasviertel
02400624,Weberwiese
02400625,Wriezener Bahnhof
02500726,Hausburgviertel
02500727,Forckenbeckplatz
02500728,Samariterviertel
02500729,Pettenkofer Straße
02500830,Niederbarnimstraße
02500831,Wismarplatz
02500832,Traveplatz
02500833,Boxhagener Platz
02500834,Revaler Straße
02500835,Stralauer Kiez
02500836,Stralauer Halbinsel
03100101,Bucher Forst
03100102,Klinikum Buch
03100103,Karower Chaussee
03200204,Blankenfelde
03200205,Uhlandstraße
03200206,Pastor-Niemöller-Platz
03200207,Herthaplatz
03200308,Nisbléstraße
03200309,Eddastraße
03200310,Krugpfuhl
03300411,Karow Nord
03300412,Karow Bahnhof
03300413,Karow Ost
03300514,Blankenburg
03300515,Blankenburger Süden
03300516,Heinersdorf
03300517,Märchenland
03400618,Rosenthal
03400619,Wilhelmsruh
03400620,Schönholz
03400721,Florakiez
03400722,Parkstraße
03400723,Garbátyplatz
03400724,Wolfshagener Straße
03400725,Schlosspark
03400826,Tiroler Viertel
03400827,Trelleborger Viertel
03400828,Spiekermann Straße
03400829,Arnold-Zweig-Straße
03400830,Kissingenviertel
03400831,Pankower Tor
03500932,Bühringstraße
03500933,Weißer See
03500934,Weißenseer Spitze
03500935,Behaimstraße
03500936,Komponistenviertel Weißensee
03501037,Rathaus Weißensee
03501038,Hansastraße
03601139,Norweger Viertel
03601140,Malmöer Straße
03601141,Arnimplatz
03601142,Falkplatz
03601243,Rodenbergstraße
03601244,Humannplatz
03601245,Ostseestraße
03601346,Gethsemanekirche
03601347,Helmholtzplatz
03601348,Senefelderstraße
03601449,Michelangelostraße
03601450,Volkspark Prenzlauer Berg
03601451,Anton-Saefkow-Park
03601452,Velodrom
03601453,Alter Schlachthof
03701554,Teutoburger Platz
03701555,Sredzkistraße
03701556,Kollwitzplatz
03701657,Thälmannpark
03701658,Christburger Straße
03701659,Immanuelkirchstraße
03701660,Bötzowstraße
04100101,Jungfernheide/Plötzensee
04100102,Paul-Hertz-Siedlung
04200203,Olympiagelände
04200204,Angerburger Allee
04200205,Flatowallee
04200206,Kranzallee
04200207,Eichkamp
04200308,Branitzer Platz
04200309,Neu Westend
04200310,Fürstenplatz
04200311,Königin-Elisabeth-Straße
04300412,Schlossgarten
04300413,Klausenerplatz
04300414,Schloßstraße
04300415,Lietzensee
04300416,Amtsgerichtsplatz
04300517,Tegeler Weg
04300518,Kaiserin-Augusta-Allee
04300619,Alt-Lietzow
04300620,Spreestadt
04300621,Richard-Wagner-Straße
04300622,Ernst-Reuter-Platz
04300623,Karl-August-Platz
04300624,Savignyplatz
04400725,Güterbahnhof Grunewald
04400726,Bismarckallee
04400727,Flinsberger Platz
04400728,Hagenplatz
04400729,Hundekehle
04400830,Forckenbeckstraße
04400831,Messelpark
04400832,Breite Straße
04400833,Schlangenbader Straße
04400834,Binger Straße
04400835,Rüdesheimer Platz
04500936,Droysenstraße
04500937,Halensee
04500938,Hochmeisterplatz
04500939,Eisenzahnstraße
04501040,Hindemithplatz
04501041,George-Grosz-Platz
04501042,Breitscheidplatz
04501043,Preußenpark
04501044,Ludwigkirchplatz
04501045,Schaperstraße
04501146,Barstraße
04501147,Leon-Jessel-Platz
04501148,Brabanter Platz
04501149,Nikolsburger Platz
04501150,Wilhelmsaue
04501151,Hildegardstraße
04501152,Prager Platz
04501153,Babelsberger Straße
05100101,Hakenfelde Nord
05100102,Am Forstacker
05100103,Mertensstraße
05100104,Maselake
05100105,Amorbacher Weg
05100206,Griesingerstraße
05100207,An der Tränke
05100208,Im Spektefeld
05100209,Westerwaldstraße
05100210,Germersheimer Platz
05100211,An der Kappe
05100312,Eckschanze
05100313,Eiswerder
05100314,Kurstraße
05100315,Ackerstraße
05100316,Carl-Schurz-Straße
05100317,Freiheit
05200418,Isenburger Weg
05200419,Am Heideberg
05200420,Staakener Straße
05200421,Spandauer Straße
05200422,Werkstraße
