PLR_ID,PLR_NAME,school_count,school_names,privat,öffentlich,Typ: Andere Schule,Typ: Berufsschule,Typ: Grundschule,Typ: Gymnasium,Typ: Integrierte Sekundarschule,Typ: Privatschule,Typ: Schule mit sonderpädagogischem Förderschwerpunkt,Art: Berufsfachschule,Art: Berufsschule,Art: Berufsschule mit sonderpäd. Aufgaben,Art: Fachschule,Art: Freie Waldorfschule,"Art: Förderschwerp. ""Geistige Entwicklung""","Art: Förderschwerp. ""Lernen""","Art: Förderschwerp. ""Lernen""u.""Geistige Entwickl.""",Art: Förderschwerp. einschl. beruflichem Teil,Art: Gemeinschaftsschule,Art: Grundschule,Art: Gymnasium,Art: Integrierte Sekundarschule,Art: Kombinierte allg./berufl. Schule,Art: Kombinierte allgemein bildende Schule,Art: Kombinierte berufliche Schule,Art: Oberstufenzentrum,Art: Übrige Förderschwerpunkte
01100101,Stülerstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100102,Großer Tiergarten,1.0,['Canisius-Kolleg '],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01100103,Lützowstraße,4.0,"['Allegro-Grundschule', 'Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule)', 'Ecole Voltaire (Grundschule)', 'Französisches Gymnasium']",2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01100104,Körnerstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100205,Wilhelmstraße,1.0,['Grundschule am Brandenburger Tor'],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01100206,Unter den Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100207,Leipziger Straße,2.0,"['Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin', 'GPB College gGmbH']",1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
01100308,Charitéviertel,1.0,['Grundschule Neues Tor'],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01100309,Oranienburger Straße,6.0,"['Kastanienbaum-Grundschule', 'Grundschule am Koppenplatz', 'Jüdisches Gymnasium Moses Mendelssohn', 'Freie Waldorfschule Berlin Mitte', 'Berlin Metropolitan School (Integrierte Sekundarschule)', 'Berlin Cosmopolitan School']",4.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
01100310,Alexanderplatzviertel,4.0,"['Evangelische Schule Berlin Mitte (Gemeinschaftsschule)', 'BEST-Sabel Berufsakademie', 'BTB Schulzentrum gGmbH', 'WWV Bildungsakademie gGmbH']",4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
01100311,Karl-Marx-Allee,4.0,"['GutsMuths-Grundschule', 'FRÖBEL Akademie gGmbH - Fachschule für Sozialpädagogik', 'Charlotte-Pfeffer-Schule', 'Max-Planck-Gymnasium']",1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01100312,Heine-Viertel West,2.0,"['City-Grundschule', 'Evangelische Schule Berlin Zentrum (Gemeinschaftsschule)']",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01100313,Heine-Viertel Ost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100414,Nordbahnhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
